#{"t_start": 1779267536.5420213, "env_id": "None"}
r,l,t
66.367991,68,5.037652
52.626956,54,7.692944
27.111629,29,9.123567
80.570049,82,13.28695
80.425838,82,17.405915
86.615311,89,21.905595
21.128222,23,23.079505
37.38798,39,25.071635
19.203824,21,26.159726
28.613659,30,27.754718
34.382246,36,29.604655
62.185182,64,32.745003
41.372047,43,34.930571
47.404885,49,37.420593
28.329137,30,38.937865
31.507332,33,40.595251
52.398379,54,43.369978
30.473764,32,45.086603
41.599953,43,47.280205
26.269953,28,48.647891
23.502579,25,49.851237
23.559424,25,51.058423
44.776435,46,62.299841
45.642067,47,62.366399
23.384692,25,62.398384
37.585446,39,62.446758
41.617535,43,62.499673
25.431961,27,62.534294
57.192931,59,62.60559
28.59042,30,62.643113
18.165362,20,62.70687
28.583889,30,62.753375
69.488445,72,62.846486
35.534197,37,62.892554
23.349976,25,62.925301
28.475178,30,62.962276
27.123632,29,62.999599
27.529352,29,63.040595
18.309986,20,63.065663
33.300091,35,63.108297
19.289377,21,63.135545
43.510195,45,63.193657
27.450309,29,63.230452
22.242635,24,63.264363
38.371289,40,63.313212
38.603577,40,63.359492
47.489099,49,63.42141
32.105831,34,63.4631
75.075627,77,63.561715
28.221697,30,63.861897
31.462179,33,63.900688
52.515502,54,72.051701
66.680889,68,72.139662
24.467586,26,72.176477
15.018467,17,72.23433
66.801544,68,72.31805
29.455363,31,72.35315
61.327867,63,72.434494
73.541094,75,72.529861
26.339829,28,72.563443
49.594032,51,72.623963
33.561011,35,72.666687
41.573181,43,72.718928
57.773892,59,72.826099
97.221457,99,72.956382
24.366158,26,72.991921
48.23258,50,73.057687
32.707352,34,73.135536
45.442341,47,73.204787
47.355461,49,73.266724
36.291119,38,73.314226
22.400698,24,73.343666
36.553095,38,73.392356
60.645545,62,73.467329
29.456252,31,73.506216
43.317084,45,73.566631
50.323134,52,73.634114
56.197491,58,73.704027
86.747953,89,73.809752
31.579306,33,73.847061
59.156809,61,73.925776
26.437594,28,73.959425
104.470285,107,74.105471
67.596196,69,74.189722
102.866803,105,74.32251
53.216737,55,74.389704
37.050755,39,74.438974
74.714137,76,74.533088
37.525933,39,74.726102
53.281729,55,74.79109
96.050352,98,83.209918
54.498111,56,83.276729
84.105515,87,83.381263
83.698426,85,83.48113
41.305066,43,83.531959
36.382757,38,83.578075
81.739595,83,83.677909
51.192464,53,83.742533
35.658342,37,83.786353
37.605768,39,83.833045
88.90797,91,83.940181
62.556531,64,84.025099
46.615536,48,84.085037
69.70918,71,84.166893
61.576855,63,84.24601
74.532385,76,84.340151
49.271813,51,84.400411
31.200994,33,84.441268
43.393374,45,84.493784
72.599118,74,84.584494
69.555693,71,84.668166
26.337267,28,84.702672
50.694947,52,84.765026
74.648376,76,84.859856
70.574566,72,84.94574
58.420832,60,85.028219
76.575238,78,85.131555
62.736078,64,85.208085
72.640152,74,85.300022
77.527781,79,85.398912
69.579214,71,85.672349
76.504413,79,85.773705
78.494485,80,94.007291
68.524575,70,94.09497
64.206305,66,94.171929
94.534952,96,94.289237
98.565398,100,94.416401
77.318952,79,94.513985
82.5523,84,94.620191
75.523501,77,94.713135
66.688405,68,94.797271
88.420331,90,94.913972
117.133549,119,95.062965
112.600592,114,95.21656
68.495276,70,95.304329
76.163577,78,95.399213
65.583804,67,95.480087
123.607215,126,95.643816
112.419092,114,95.822004
87.360443,89,95.943552
90.058861,92,96.06322
56.159683,58,96.145858
77.867213,80,96.246105
70.271606,72,96.344284
150.261169,152,96.761528
75.998075,78,104.731459
97.355054,99,104.855856
100.467061,102,104.987824
78.650576,80,105.085398
85.310612,87,105.196152
76.662115,78,105.303208
88.286806,90,105.409714
75.283406,77,105.504448
73.539333,75,105.601774
86.571965,88,105.749547
88.312108,90,105.858606
139.668695,142,106.035863
96.359413,99,106.168036
84.35447,86,106.291947
78.504646,80,106.38648
87.372123,90,106.495127
85.451465,87,106.641483
89.479047,91,106.754146
139.453018,141,106.922676
97.603139,99,107.217535
79.014674,81,107.321973
123.514879,125,107.47222
116.385955,118,115.910954
88.338791,90,116.029405
108.010768,110,116.161268
67.14682,69,116.2407
78.413568,80,116.333422
75.513107,77,116.431323
79.283416,82,116.532971
109.444563,111,116.679634
77.712607,79,116.780071
73.590271,75,116.87012
70.457903,72,116.96105
82.620465,84,117.068082
122.931279,125,117.240736
96.423357,98,117.370609
75.636486,77,117.463672
127.364606,129,117.61653
94.254682,96,117.742118
68.528128,70,117.824129
102.328427,104,117.945976
71.569435,73,118.201013
73.234027,75,118.289247
87.362729,89,118.400219
70.528327,72,118.508724
78.601318,80,126.298977
96.5931,98,126.417601
69.474028,71,126.507421
70.581267,72,126.589799
82.334782,84,126.690198
109.756382,112,126.82798
67.251929,69,126.908596
182.731062,185,127.132384
97.412524,100,127.295857
77.992025,80,127.393686
108.689654,111,127.532023
72.368547,74,127.62497
72.662727,75,127.715879
76.934423,79,127.81162
84.144414,87,127.921986
62.781171,64,127.999659
95.242468,97,128.116516
153.41083,156,128.313861
83.547133,85,128.616001
68.886594,71,128.700689
103.591219,106,128.829047
68.660819,70,128.915773
123.658552,126,137.297991
122.42311,125,137.46177
118.807794,121,137.667965
113.419309,115,137.828865
81.499194,83,137.93488
70.798881,73,138.047571
81.511475,84,138.159714
187.121005,189,138.438679
75.88699,78,138.548493
76.505317,79,138.664958
86.154236,88,138.779791
72.463472,74,138.881099
80.130778,82,138.998273
108.159545,111,139.146882
70.507737,72,139.250232
85.686748,88,139.363616
96.564321,99,139.518505
80.951029,83,139.82759
71.452793,74,139.925107
74.128402,76,140.03577
159.966909,163,140.260325
119.792155,122,149.57746
85.928644,88,149.711562
100.737921,103,149.873147
84.536542,87,149.994894
89.458606,92,150.115758
91.000954,93,150.236758
83.617028,86,150.348345
73.099728,75,150.447413
103.899716,106,150.596202
115.683921,118,150.756498
91.071729,94,150.882973
90.812647,93,151.022639
86.870006,89,151.149088
80.833214,83,151.268599
126.747579,129,151.620793
127.661389,130,151.885561
111.426459,114,152.270661
83.461417,86,152.417205
71.223063,73,152.513975
80.03218,82,152.622375
96.8919,99,152.752109
76.693803,79,161.005257
73.804158,76,161.102378
76.781919,79,161.203932
83.644205,86,161.313375
71.790121,74,161.410878
118.784904,121,161.5741
107.046302,109,161.720659
91.698627,94,161.854412
86.084471,88,162.008286
74.887811,77,162.116766
90.775221,93,162.236661
93.500118,96,162.366453
89.84196,92,162.492437
148.561364,151,162.68372
76.742742,79,162.781499
75.613526,78,162.889402
72.748889,75,163.003373
160.198653,162,163.412714
75.680827,78,163.514974
151.361334,154,163.712903
78.830553,81,163.81486
86.067378,88,172.048444
119.889655,122,172.226121
73.830881,76,172.326484
117.15116,119,172.482327
93.384776,95,172.604338
76.787732,79,172.711424
165.864087,168,172.928317
89.822803,92,173.056381
85.70415,88,173.179973
98.836115,101,173.311614
90.528064,93,173.434936
85.639064,88,173.546432
125.573689,128,173.737563
73.778178,76,173.837165
137.804075,140,174.035719
145.211484,148,174.417008
91.529496,94,174.571512
102.820557,105,174.716597
83.412232,86,174.832514
77.719688,80,174.935123
77.671451,80,183.237056
77.16937,79,183.339261
134.006833,136,183.509508
151.176871,154,183.707231
75.420733,78,183.811795
81.881549,84,183.915711
77.671149,80,184.02903
82.493603,85,184.142754
90.836248,93,184.272396
123.159556,126,184.444695
93.565482,96,184.572733
86.421166,89,184.687394
102.915934,105,184.828502
107.738897,110,184.971421
92.260499,94,185.100359
105.566582,108,185.47441
114.190004,116,185.627734
77.573617,80,185.756563
75.633685,78,185.862348
82.524313,85,185.987827
