#{"t_start": 1779267536.5786517, "env_id": "None"}
r,l,t
59.572063,61,4.659054
17.28842,19,5.581437
27.629864,29,6.986637
26.358643,28,8.402335
60.464302,62,11.529085
34.52172,36,13.354703
35.495708,37,15.202205
34.414324,36,16.985899
48.421169,50,19.540392
38.52581,40,21.576984
35.603049,37,23.434541
58.019066,60,26.519514
57.864975,60,29.671297
23.364892,25,30.901322
31.964739,34,32.563377
25.63591,27,33.946211
22.330216,24,35.143934
53.319539,55,37.948776
27.47269,29,39.416384
42.088683,44,41.618498
43.297794,45,44.039369
20.27593,22,45.149013
35.675586,37,47.036753
23.303012,25,48.273992
86.329198,88,62.239573
43.632393,45,62.308585
38.337293,40,62.359254
45.509457,47,62.417092
33.651237,35,62.460435
47.588328,49,62.521677
43.701465,45,62.576064
26.368701,28,62.611732
32.563701,34,62.697319
88.355521,90,62.818422
35.633511,37,62.86319
33.365609,35,62.907417
36.171728,38,62.956469
46.633449,48,63.019812
27.520929,29,63.055801
23.30386,25,63.088187
40.680375,42,63.14185
25.55471,27,63.177865
34.534429,36,63.223385
65.61494,67,63.305753
64.651885,66,63.388122
24.405995,26,63.419217
50.545478,52,63.488402
47.337129,49,63.547843
38.539276,40,63.85945
23.537506,25,71.970921
75.125805,77,72.072399
37.476854,39,72.123189
77.618403,79,72.260408
32.44353,34,72.300476
43.485609,45,72.356094
21.446939,23,72.386219
37.468059,39,72.437669
54.128992,56,72.506127
64.333148,66,72.584966
71.320186,73,72.673311
45.351947,47,72.766917
28.527483,30,72.805306
77.429475,79,72.908438
35.481685,37,72.95752
83.489834,85,73.109527
38.453525,40,73.162798
60.604081,62,73.240315
26.428142,28,73.276216
37.722098,39,73.323674
80.917728,83,73.426855
153.498499,156,73.626833
71.651884,74,73.716718
74.261467,76,73.804213
70.701621,72,73.896192
53.465083,55,73.968225
65.158636,67,74.059611
86.526455,88,74.168933
38.557895,40,74.219257
60.126706,62,74.296634
69.237711,71,74.385675
63.654555,65,74.466038
26.571563,28,74.499912
47.604396,49,74.704351
72.637567,74,83.093706
131.433104,133,83.252863
50.628076,52,83.315969
88.532188,90,83.424033
90.108028,92,83.531326
62.518004,64,83.607922
90.214032,92,83.720409
63.558516,65,83.79759
69.717551,71,83.880437
31.638412,33,83.921298
86.55352,88,84.036046
61.53469,63,84.110465
48.463672,50,84.170033
52.118968,54,84.238644
76.313908,78,84.331751
21.380126,23,84.360119
56.569095,58,84.429525
89.893084,92,84.541169
67.368202,69,84.623405
72.510883,75,84.713381
35.414597,37,84.759114
37.674825,39,84.808671
71.555211,73,84.895408
49.554275,51,84.967082
37.588651,39,85.015097
107.693584,110,85.156503
103.478634,106,85.286475
67.432667,69,85.372459
76.700502,78,85.656014
58.666936,60,85.73348
71.399321,73,93.959088
69.158697,71,94.046845
73.574714,75,94.134964
111.639003,113,94.272729
130.305338,132,94.439179
90.416776,92,94.556062
121.199493,124,94.70497
73.530973,75,94.802003
81.425493,83,94.906267
107.291232,109,95.04798
135.152523,138,95.225588
90.378748,92,95.340131
92.398026,94,95.455511
90.231418,92,95.573455
84.275993,86,95.704777
74.617285,76,95.817593
82.510717,84,95.933062
88.350622,90,96.05371
78.320495,80,96.155441
66.924111,69,96.253034
132.905141,135,96.616599
70.143168,72,96.738671
106.31865,108,104.748193
78.234384,80,104.849305
67.474766,69,104.936298
112.444799,114,105.080037
75.844912,78,105.182755
76.395369,78,105.282534
