#{"t_start": 1779267536.5673127, "env_id": "None"}
r,l,t
64.992805,67,4.963074
43.22217,45,7.146499
36.452506,38,9.049525
33.426798,35,10.843565
17.273119,19,11.822766
56.540822,58,14.706078
24.49971,26,16.026855
32.336583,34,17.720152
30.351312,32,19.356938
24.375968,26,20.692794
66.419064,68,24.107151
47.663302,49,26.63215
56.088353,58,29.683897
53.300401,55,32.377416
23.367032,25,33.644756
63.649835,65,36.925417
46.47592,48,39.378107
45.38588,47,41.735676
15.121976,17,42.592176
39.556315,41,44.798635
34.552569,36,46.634507
69.28182,71,50.113515
59.339018,61,62.267175
31.235944,33,62.318685
37.432349,39,62.368258
32.217525,34,62.41014
39.543851,41,62.461798
45.686544,47,62.520108
22.318944,24,62.548418
67.556118,69,62.633828
53.346915,55,62.752727
66.808521,69,62.841027
21.38579,23,62.868924
21.458432,23,62.898711
55.261444,57,62.970393
64.327142,66,63.057306
37.522219,39,63.106755
56.266811,58,63.182216
27.386806,29,63.218676
26.465242,28,63.255411
29.50467,31,63.293807
35.205763,37,63.337062
62.790592,64,63.415932
41.382326,43,63.471583
60.007626,62,63.550219
25.528152,27,63.846602
33.629067,35,71.969291
45.439386,47,72.030346
52.421105,54,72.100545
98.51846,100,72.265308
37.169829,39,72.31199
65.612919,67,72.396721
59.283644,61,72.475235
41.38337,43,72.527209
32.554128,34,72.56943
95.524808,98,72.68609
50.140325,52,72.785256
64.612188,66,72.875319
36.700892,38,72.921412
66.574827,68,73.011992
59.615547,61,73.132298
99.128617,102,73.263741
63.137337,65,73.342911
69.368111,71,73.431559
62.035427,64,73.510614
35.502644,37,73.561789
22.419861,24,73.593926
73.562776,75,73.686101
37.65943,39,73.731585
40.398285,42,73.780856
51.310909,53,73.843276
26.371397,28,73.880838
22.390413,24,73.910463
53.377079,55,73.982797
52.046563,54,74.056679
69.535468,71,74.145396
47.220174,49,74.204718
55.628015,57,74.278192
57.266926,59,74.351744
44.59339,46,74.40894
75.458043,77,74.504213
46.458488,48,74.708191
60.477703,62,74.782191
49.620985,51,83.144017
80.371582,82,83.242245
29.555062,31,83.280764
89.529345,91,83.389619
46.735334,48,83.44537
82.447563,84,83.544545
54.126922,56,83.611373
76.614459,78,83.705578
134.104881,136,83.86728
56.956291,59,83.943378
65.481658,67,84.025197
59.386706,61,84.102554
86.064221,88,84.207869
82.568832,84,84.311051
87.575413,89,84.418149
87.76288,89,84.525457
63.750996,65,84.602727
88.516327,90,84.711225
90.414019,92,84.82485
85.492848,87,84.93008
70.49918,72,85.026771
39.463597,41,85.08261
85.200946,87,85.189362
53.596152,55,85.257005
86.174188,88,85.367157
47.527422,49,85.614572
77.587978,79,85.717164
72.485087,74,93.938503
69.696695,71,94.027201
81.489049,83,94.128753
82.483119,84,94.229525
92.359424,94,94.350093
79.464919,81,94.449693
106.043481,108,94.586309
84.266429,86,94.6904
93.439613,95,94.809999
123.018345,125,94.971748
76.854653,79,95.075383
75.234879,77,95.174652
73.627451,75,95.268493
165.941952,168,95.474147
65.599326,67,95.559486
73.602753,75,95.660366
99.457723,101,95.82081
