#{"t_start": 1779267536.5049527, "env_id": "None"}
r,l,t
36.982402,39,3.656222
63.415651,65,6.81893
27.44162,29,8.28238
37.319278,39,10.234458
67.540947,69,13.740445
75.460958,78,17.637457
57.062507,59,20.651124
92.211464,94,25.419119
30.602573,32,27.062431
31.308311,33,28.804618
28.534986,30,30.341807
37.551627,39,32.245557
35.614296,37,34.123821
42.396036,44,36.350756
31.324244,33,38.021808
35.290517,37,39.897374
42.407033,44,42.107425
41.620257,43,44.407799
28.529444,30,45.921523
50.306686,52,48.537502
27.434988,29,49.93548
46.458501,48,62.301458
74.041781,76,62.412691
36.458805,38,62.45917
41.421169,43,62.513907
24.47375,26,62.544819
56.962739,59,62.618936
32.17561,34,62.659042
79.458007,82,62.812349
36.584705,38,62.862336
24.419177,26,62.894752
60.531362,62,62.971357
27.630331,29,63.008125
36.330829,38,63.061069
34.418388,36,63.10604
34.241707,36,63.1503
34.621256,36,63.194937
110.720567,113,63.341309
30.597375,32,63.379431
35.528301,37,63.425003
24.503233,26,63.45811
22.24387,24,63.486383
31.49672,33,63.530434
47.530572,49,63.592696
26.204284,28,63.890306
20.40962,22,63.91677
68.423188,70,72.0862
56.180593,58,72.16135
82.194617,85,72.308915
60.380362,62,72.382208
42.494745,44,72.437251
89.347581,91,72.555382
46.453846,48,72.614269
45.517402,47,72.6676
39.428933,41,72.719929
31.485508,33,72.758171
30.158258,32,72.833999
35.569436,37,72.880354
88.393135,90,72.9969
46.431057,48,73.059157
43.367881,45,73.124421
74.44022,76,73.26017
78.693887,80,73.360154
45.677924,47,73.420156
37.603136,39,73.467585
81.284625,83,73.569287
38.448039,40,73.625071
57.121019,59,73.699386
48.461326,50,73.761747
48.664176,50,73.818108
38.659993,40,73.86509
28.546804,30,73.90145
31.385045,33,73.94517
17.280987,19,73.968655
33.690336,35,74.012875
61.629003,63,74.097638
55.531513,57,74.171843
16.170992,18,74.193581
69.69009,71,74.283916
25.416196,27,74.316221
65.651938,67,74.40184
81.489638,83,74.503335
72.247622,74,74.596535
67.417564,70,74.824264
