#{"t_start": 1779267536.57876, "env_id": "None"}
r,l,t
28.505219,30,3.14508
52.240843,54,5.775684
48.710324,50,8.257264
29.541901,31,9.810103
54.084227,56,12.643512
36.634326,38,14.5487
32.291812,34,16.256053
42.12823,44,18.456972
45.216512,47,20.891928
51.360648,53,23.534109
38.505667,40,25.606934
31.553513,33,27.343718
33.479646,35,29.147413
26.332648,28,30.560122
30.295478,32,32.124587
77.436754,79,36.123468
64.644757,66,39.468704
22.373446,24,40.656172
23.395704,25,41.93349
28.504753,30,43.557047
16.257592,18,44.48915
23.126669,25,45.749376
59.55949,61,48.801601
34.453137,36,50.535608
53.685697,55,62.260791
67.31543,69,62.356312
28.569262,30,62.393033
43.347265,45,62.449912
21.336847,23,62.477289
72.29582,74,62.568647
29.587287,31,62.607582
42.327779,44,62.709832
51.947049,54,62.782356
35.572219,37,62.828349
52.683851,54,62.895079
27.466484,29,62.931806
65.063998,67,63.019952
48.596017,50,63.083027
72.637748,74,63.179147
32.657777,34,63.222093
30.51981,32,63.262807
68.544864,70,63.347647
19.349484,21,63.373909
21.418987,23,63.401835
33.421174,35,63.448897
51.014413,53,63.515411
35.621568,37,63.823806
79.474056,82,72.00771
22.318039,24,72.04153
34.602671,36,72.085152
20.308081,22,72.114755
36.572459,38,72.20129
82.874961,85,72.303855
49.377196,51,72.367383
56.647348,58,72.44362
84.443674,87,72.551063
54.360038,56,72.615387
73.674638,75,72.707224
87.6115,89,72.860919
25.496966,27,72.893998
79.074017,81,73.000315
89.657872,92,73.161461
30.515633,32,73.201342
36.499045,38,73.250764
40.47298,42,73.300951
52.180691,54,73.369753
68.711058,70,73.454888
58.583874,60,73.534338
35.666468,37,73.58364
74.378311,76,73.676864
63.548595,65,73.75254
54.540666,56,73.817303
51.602002,53,73.886376
38.648279,40,73.9367
46.332457,48,74.003928
65.571749,67,74.089385
60.025793,62,74.167594
19.412562,21,74.191957
77.424847,79,74.293046
24.535907,26,74.325224
84.015526,86,74.43172
20.420316,22,74.458153
42.317672,44,74.513143
60.769822,63,74.734195
50.514085,52,83.097163
45.741339,47,83.153157
90.787594,93,83.266715
60.277923,62,83.33959
53.474837,55,83.406316
101.321077,103,83.526469
83.526838,85,83.628497
68.733391,70,83.714151
77.571612,79,83.807391
75.68815,77,83.899034
