#{"t_start": 1779267536.5469453, "env_id": "None"}
r,l,t
35.390346,37,3.517722
53.068712,55,6.197798
36.5784,38,8.092601
48.586951,50,10.606866
24.348363,26,11.946586
20.083486,22,13.023447
37.502031,39,14.974806
26.493889,28,16.385761
45.489125,47,18.752369
20.354798,22,19.877085
42.555102,44,22.101177
53.588239,55,24.915406
51.100805,53,27.696947
31.407498,33,29.389861
54.000803,56,32.156617
43.321875,45,34.438481
23.453049,25,35.701234
32.673957,34,37.41543
59.297761,61,40.494317
23.235633,25,41.756432
35.303902,37,43.748642
18.351121,20,44.766865
41.279276,43,46.963886
32.20597,34,48.642409
28.461871,30,50.085941
36.251839,38,51.917176
29.417414,31,62.302445
63.394297,65,62.38831
24.315964,26,62.419633
41.547611,43,62.474217
52.370026,54,62.541434
29.584684,31,62.579283
36.604659,38,62.624674
59.464155,62,62.752749
70.847987,73,62.845602
40.663092,42,62.898616
26.39972,28,62.933357
34.469978,37,62.980702
40.328373,42,63.037812
19.34974,21,63.064431
33.332203,35,63.107264
46.292123,48,63.168799
51.458554,53,63.237381
34.315801,36,63.2836
65.500891,67,63.36517
35.403055,37,63.411424
60.46395,62,63.489759
27.541713,29,63.527221
43.278303,45,63.846147
30.309222,32,63.88412
78.151844,80,72.070126
31.646711,33,72.110754
64.482435,66,72.234701
61.636603,63,72.311704
77.457073,79,72.409372
57.357062,59,72.486008
43.21228,45,72.540229
42.361482,44,72.594402
69.731697,71,72.680673
25.527999,27,72.711348
54.567898,56,72.814813
111.256511,113,72.964631
81.509603,83,73.076737
25.432586,27,73.149878
36.396905,38,73.199672
34.617359,36,73.245175
30.494072,32,73.286714
32.603897,34,73.326756
42.736847,45,73.3849
32.429494,34,73.425689
35.536438,37,73.470434
46.304655,48,73.530268
51.980311,54,73.605984
68.737455,70,73.690649
68.749919,70,73.773104
21.274532,23,73.800982
30.519569,32,73.83732
83.384174,85,73.945355
58.340229,60,74.025242
41.476647,43,74.084016
57.472577,59,74.156817
57.120537,59,74.228954
46.024449,48,74.291494
50.595177,52,74.357094
48.672105,50,74.420042
35.586586,37,74.464874
103.433843,105,74.738299
71.779437,73,83.126724
61.5461,63,83.202587
75.433479,77,83.29635
77.333661,79,83.390126
38.405832,40,83.437982
47.733904,49,83.492979
77.722057,80,83.589084
80.496264,82,83.688205
67.754829,69,83.772303
71.384014,73,83.857996
66.541773,68,83.938658
65.464151,67,84.027112
73.543153,75,84.120158
67.636887,69,84.200282
68.546235,70,84.287654
95.716027,97,84.403929
97.509126,99,84.525667
89.2756,91,84.634256
85.319405,87,84.738185
67.662479,69,84.823019
74.296308,76,84.913822
67.295237,69,85.007976
92.037839,95,85.133405
70.665639,72,85.21923
58.326331,60,85.293373
85.239805,87,85.40206
