#{"t_start": 1779267536.5746875, "env_id": "None"}
r,l,t
40.377203,42,3.735482
66.72922,68,7.038696
58.607911,60,10.064691
34.454479,36,11.918038
60.710152,62,14.999014
55.467627,57,17.858538
34.995612,37,19.744735
52.603503,54,22.478651
22.249288,24,23.683713
65.994979,68,27.202477
56.885995,59,30.271946
59.216366,61,33.269117
19.375655,21,34.361167
86.092475,88,38.801748
37.628904,39,40.756929
29.407543,31,42.331643
65.746574,67,45.851811
54.431719,56,48.66156
26.539388,28,50.010127
57.549515,60,62.254867
43.339778,45,62.322779
33.572899,35,62.36668
52.418987,54,62.433596
35.471528,37,62.478688
19.060171,21,62.506233
22.509516,24,62.534675
43.437595,45,62.589285
62.706446,64,62.717812
63.474871,65,62.803881
48.541746,50,62.86467
61.497448,63,62.944683
30.537371,32,62.990087
34.555542,36,63.035074
43.271248,45,63.090686
53.179725,55,63.162107
26.490137,28,63.197443
22.4858,24,63.231375
52.620985,54,63.295789
26.566237,28,63.328995
47.353133,49,63.390888
23.368545,25,63.420778
33.42693,35,63.466319
75.883607,78,63.827785
25.58386,27,63.85967
76.422685,78,72.043751
67.804087,70,72.133686
61.380576,63,72.249876
61.371831,63,72.323725
37.442173,39,72.374662
25.411353,27,72.409057
55.572057,57,72.483202
63.714242,65,72.561866
50.370235,52,72.622039
59.210578,61,72.696946
51.607195,53,72.797539
87.069931,89,72.915051
26.523862,28,72.952858
30.971745,33,72.99317
74.65683,76,73.135686
31.65264,33,73.178677
37.627138,39,73.228037
35.500763,37,73.275524
38.527386,40,73.324138
31.543945,33,73.366002
78.404363,80,73.464046
40.449248,42,73.519586
52.448508,54,73.591674
42.672086,44,73.64356
44.402953,46,73.701273
70.073973,72,73.784824
76.867174,79,73.882527
32.519144,34,73.92422
77.407095,79,74.03384
48.342699,50,74.096097
41.674539,43,74.149928
65.509206,67,74.233463
42.53079,44,74.289278
37.432694,39,74.338072
34.382211,36,74.383511
43.609963,45,74.43806
32.335964,34,74.48103
72.499898,74,74.715672
64.641166,66,83.095337
62.93517,65,83.173263
66.601914,68,83.254493
83.83996,87,83.359642
129.170572,131,83.51339
66.754188,68,83.595679
129.294837,132,83.754591
44.618298,46,83.809093
66.214271,68,83.88969
84.028923,86,84.000452
86.441492,88,84.107873
53.587704,55,84.171904
99.413571,101,84.298212
75.039282,77,84.390042
69.722015,71,84.475311
53.367922,55,84.542739
65.427576,67,84.622471
66.60782,68,84.704714
100.94839,103,84.831779
88.579558,90,84.945638
46.434991,48,85.008095
78.987019,81,85.115405
87.584449,89,85.222984
87.948505,90,85.335233
38.520875,40,85.383615
72.401345,74,85.662606
63.579201,65,85.745444
122.059218,125,94.033134
76.289515,78,94.127943
75.814983,78,94.222097
80.446569,82,94.327355
75.18899,77,94.421128
75.600406,77,94.519515
85.407209,87,94.627219
84.139391,86,94.728963
91.331942,93,94.850776
100.144699,102,94.982071
109.544856,111,95.127746
93.499447,95,95.246475
70.2734,72,95.335993
107.466962,109,95.470022
62.60597,64,95.55185
110.075818,112,95.716662
41.527203,43,95.784152
74.499892,76,95.892915
70.617017,72,95.985632
104.378962,106,96.126109
78.501144,80,96.228454
70.412967,72,96.520238
110.407195,112,96.657008
96.467571,98,104.68612
106.391967,108,104.823995
66.617941,68,104.908006
72.159727,74,105.004647
169.29374,171,105.225644
80.665371,82,105.325931
69.465891,71,105.413825
124.145511,127,105.575309
167.213598,169,105.821024
73.223623,75,105.915409
131.137889,134,106.089895
136.248286,138,106.279896
83.42626,85,106.380159
94.246181,96,106.535515
157.338637,159,106.730484
118.537012,120,106.873301
67.370211,69,106.961318
74.652152,76,107.230592
75.785721,78,107.325144
74.569626,76,107.41626
136.083655,138,115.879149
70.518525,72,115.975158
91.417884,93,116.082144
89.641829,92,116.193171
98.64032,101,116.312442
82.538915,84,116.420625
81.517395,83,116.524072
70.442541,72,116.613306
67.28663,69,116.711559
81.459942,83,116.807004
69.573232,71,116.895767
113.370901,115,117.043304
100.372632,102,117.185248
77.617069,79,117.285964
76.639866,78,117.390377
93.458443,95,117.502748
71.106215,73,117.588965
87.408154,89,117.706732
223.393554,226,118.142198
78.204683,80,118.235379
69.341329,71,118.316716
78.182827,80,118.441556
67.517779,69,126.220354
118.420012,120,126.360267
64.647491,66,126.447837
73.254671,75,126.535312
81.221345,83,126.634388
71.634573,73,126.723433
76.886775,79,126.817869
163.684432,166,127.022892
96.121803,98,127.137256
80.546228,82,127.276849
96.270782,98,127.39678
103.285272,105,127.528546
69.30329,72,127.618194
82.649829,84,127.718328
83.316079,85,127.82518
72.947352,75,127.920139
84.575479,87,128.024139
74.424026,76,128.121933
82.800608,85,128.226248
76.376806,78,128.321346
82.626917,85,128.623061
112.95499,115,128.761171
73.611181,75,128.854992
79.061928,81,137.175125
93.62231,96,137.302232
84.328676,86,137.415176
73.112239,76,137.514676
163.943491,166,137.790262
77.17221,79,137.890476
70.002132,72,138.001382
86.638793,89,138.120653
80.667557,83,138.243999
95.641387,98,138.385044
78.562884,81,138.496255
163.526022,166,138.733001
92.815118,95,138.860399
116.311314,119,139.031939
84.70255,87,139.148849
78.587986,80,139.255532
89.188203,91,139.370535
86.228979,89,139.716899
74.949349,77,139.822775
73.259687,75,139.922491
74.060908,76,140.035876
103.268851,105,140.176291
96.806376,99,149.460618
183.058984,186,149.727705
105.489869,108,149.891617
72.048016,74,149.997087
91.647737,94,150.122918
75.991445,78,150.221512
73.595437,76,150.32132
124.850446,127,150.493391
106.502581,109,150.638961
77.593675,80,150.75691
78.664488,81,150.863823
119.591286,122,151.043454
71.768641,74,151.152775
109.36144,111,151.324857
73.482262,76,151.583195
78.393581,80,151.740611
141.513271,144,152.209063
85.81572,88,152.32561
74.549517,77,152.455768
77.615803,80,152.561752
83.708334,86,152.673781
84.844709,87,160.943237
86.92529,89,161.057836
142.627993,145,161.245576
111.813653,114,161.390868
80.724344,83,161.500142
108.85974,111,161.656689
120.23621,122,161.823783
107.689028,110,162.008968
126.071194,128,162.182034
102.599773,105,162.321552
78.853553,81,162.427939
136.004196,138,162.609898
92.60236,95,162.727082
87.667151,90,162.84804
88.839721,91,162.984939
82.116446,84,163.291752
75.169225,77,163.393229
76.684964,79,163.495656
127.814279,130,163.657326
82.604169,85,163.767419
82.687551,85,172.000565
93.138328,95,172.143117
83.531915,86,172.255682
80.464349,83,172.365411
84.670415,87,172.475372
94.91846,97,172.604907
83.240668,86,172.714671
79.411292,82,172.818719
74.813497,77,172.922031
76.646471,79,173.036757
84.589121,87,173.158109
78.594518,81,173.263283
122.553454,125,173.424909
102.57151,105,173.591194
119.839327,122,173.74637
100.598187,103,173.887881
153.27452,156,174.284534
82.483137,85,174.397498
84.449676,87,174.542809
75.574519,78,174.650763
85.643848,88,174.773032
93.696954,96,174.896089
92.619733,95,183.221101
113.511891,116,183.364826
122.71231,125,183.520092
77.991129,80,183.624325
112.447258,115,183.777611
139.386678,142,183.965509
84.449795,87,184.084111
91.101502,93,184.206729
78.490148,81,184.313316
80.422869,83,184.437176
83.415469,86,184.550003
84.658255,87,184.660834
81.311997,84,184.774054
78.340433,81,184.881541
88.54805,91,185.003312
84.883906,87,185.351297
122.952792,125,185.513712
90.682318,93,185.635384
83.601219,86,185.780283
146.666684,149,185.991347
129.4276,132,194.426469
82.818597,85,194.569036
164.573257,167,194.789785
132.555879,135,194.977279
116.770009,119,195.162128
97.884841,100,195.344723
91.341399,94,195.490817
154.427657,157,195.760563
127.700814,130,195.976315
96.355473,99,196.171056
111.873877,114,196.346083
117.644816,120,196.522074
113.932906,116,196.888333
122.75786,125,197.04845
102.633013,105,197.212105
103.444577,106,197.345702
80.702781,83,197.463285
80.520984,83,197.574767
146.679404,149,205.877718
112.599406,115,206.038638
148.583495,151,206.243203
92.58322,95,206.370818
116.316206,119,206.531794
102.668908,105,206.671961
160.536165,163,206.902531
121.913423,124,207.077056
99.661361,102,207.21438
108.272615,111,207.367491
103.303816,106,207.508625
110.608462,113,207.936162
93.518686,96,208.065448
84.354619,87,208.180168
134.35342,136,208.35938
86.467313,89,208.466223
112.88844,115,208.609858
83.447048,86,208.722443
81.281215,84,216.976834
94.141602,97,217.102441
82.397877,85,217.224223
96.31513,99,217.360776
167.590314,170,217.589451
96.367065,99,217.727122
98.271312,101,217.856746
80.177728,83,217.969545
109.311503,112,218.131228
147.736323,150,218.33765
82.451294,85,218.447691
101.635273,104,218.579419
98.221854,101,218.736421
104.961968,107,219.092169
162.64418,165,219.323515
153.213393,156,219.537099
148.685654,151,219.742332
117.453885,120,219.907164
100.419768,103,228.251134
187.325622,190,228.512559
128.584609,131,228.685101
87.195825,90,228.812178
86.344146,89,228.933581
93.048738,96,229.064103
89.248845,92,229.190592
120.446127,123,229.358033
171.815262,174,229.588114
102.53866,105,229.723567
112.509664,115,229.870576
112.591854,115,230.244521
88.28803,91,230.363774
106.276417,109,230.505388
114.226189,117,230.675572
130.468088,133,230.853997
124.38537,127,231.023751
92.45505,95,239.26236
98.081907,101,239.411182
89.713311,93,239.543955
165.113737,168,239.787978
