#{"t_start": 1779267536.5506654, "env_id": "None"}
r,l,t
50.49923,52,4.247191
46.63278,48,6.581436
27.583594,29,8.037786
51.307668,53,10.707923
32.519161,34,12.428543
24.300168,26,13.74582
31.553924,33,15.385573
31.403532,33,17.014371
32.534956,34,18.748558
35.103297,37,20.65842
31.430211,33,22.297441
27.525937,29,23.758481
64.917266,67,27.227264
39.436036,41,29.386362
37.569999,39,31.316805
45.50758,47,33.661037
44.199323,46,36.004673
39.584821,41,38.073205
57.438467,59,41.025393
53.055247,55,43.963037
26.440258,28,45.380197
34.638727,36,47.220711
28.474745,30,48.686343
30.503117,32,50.226089
72.518293,74,62.311006
45.534596,47,62.372458
26.413098,28,62.406495
38.11536,40,62.456456
33.568668,35,62.499364
46.677492,48,62.558951
24.445712,26,62.591217
32.382471,34,62.632978
21.312101,23,62.700784
31.691843,33,62.753199
45.514179,47,62.814338
38.504357,40,62.863704
28.568377,30,62.901657
20.085245,22,62.928403
30.29608,32,62.96915
63.20052,65,63.055559
38.240145,40,63.104833
34.514358,36,63.149344
33.48268,35,63.196178
32.385244,34,63.240215
83.621885,85,63.345102
68.00929,70,63.431068
29.3923,31,63.473957
40.545861,42,63.525707
22.463654,24,63.555734
30.410261,32,63.858046
64.365171,66,72.021123
18.355336,20,72.047092
71.391793,73,72.143079
67.671626,69,72.268411
27.561456,29,72.303699
65.238437,67,72.384269
85.458772,87,72.496783
25.482165,27,72.529743
56.497202,58,72.599561
71.472412,73,72.688106
71.715111,74,72.812521
47.245996,49,72.881215
59.497103,61,72.958276
55.273435,57,73.033597
63.02338,65,73.158782
36.46926,38,73.208051
42.436026,44,73.26453
79.306372,81,73.364233
63.608919,65,73.445987
40.234116,42,73.497415
30.54756,32,73.539335
49.283723,51,73.607911
28.546428,30,73.643418
76.418779,78,73.738694
88.509774,90,73.843246
67.699926,69,73.931814
31.619032,33,73.975123
46.640715,48,74.041142
61.902999,64,74.123073
60.169674,62,74.200611
47.56483,49,74.260762
84.879862,87,74.370487
84.99666,87,74.477888
66.973108,69,74.709537
47.141997,49,74.767199
63.400587,65,83.145831
60.019305,62,83.22101
53.997206,56,83.287413
77.584301,79,83.382514
106.998457,109,83.511215
40.513666,42,83.560873
70.45673,72,83.646923
96.199455,98,83.766252
47.412425,49,83.824551
72.104401,74,83.911275
66.408732,68,83.998515
84.524043,86,84.107022
76.570683,78,84.198643
73.389731,75,84.290865
107.227474,109,84.422134
82.343298,84,84.525371
62.690454,64,84.600164
43.482481,45,84.65501
123.387647,126,84.807684
104.387561,106,84.936758
98.328808,100,85.075744
50.058942,52,85.140752
86.635212,88,85.247502
76.371772,78,85.344744
31.563619,33,85.384821
69.625345,71,85.65919
69.638962,71,85.75089
35.49048,37,85.799209
68.663963,70,94.017744
89.266716,92,94.129305
77.556126,79,94.222582
76.858421,79,94.322001
130.530242,132,94.487278
81.594132,83,94.592693
87.353501,89,94.700955
94.409709,96,94.821666
