#{"t_start": 1779267536.4835289, "env_id": "None"}
r,l,t
34.404844,36,3.531972
23.379871,25,4.75413
53.33844,55,7.429303
35.686262,37,9.281117
21.344303,23,10.460471
28.443767,30,12.01017
34.309579,36,13.812315
42.511329,44,16.008722
36.456654,38,17.901649
31.406192,33,19.588171
41.541004,43,21.771192
28.482426,30,23.28664
81.612708,83,27.602006
47.358028,49,30.116506
40.653143,42,32.167913
49.586815,51,34.747784
44.413092,46,37.060534
22.314538,24,38.288804
45.525566,47,40.654266
41.516876,43,42.826458
38.507217,40,44.986556
62.703002,64,48.222868
51.063165,53,50.775328
27.263919,29,62.312316
30.487615,32,62.372925
82.298809,84,62.480867
30.360186,32,62.52119
71.456169,73,62.612255
23.329787,25,62.643204
35.65903,37,62.686879
66.680812,68,62.82278
51.58304,53,62.891615
44.496966,46,62.947402
22.001354,24,62.978986
29.397985,31,63.016483
52.303471,54,63.090126
26.489311,28,63.12512
38.139192,40,63.174837
40.280748,42,63.228328
50.65972,52,63.295592
44.626609,46,63.354846
59.390133,61,63.428627
20.189397,22,63.454909
24.569153,26,63.487776
60.427894,63,63.568239
41.517341,43,63.622534
53.145484,55,63.952213
67.870753,70,72.124769
44.38527,46,72.183267
39.232716,41,72.274596
39.550297,41,72.326377
41.568506,43,72.379129
61.647537,63,72.455158
72.286647,74,72.551604
78.737343,81,72.650954
41.647683,43,72.699986
29.672443,31,72.7402
97.575166,100,72.897838
50.373363,52,72.968643
44.399917,46,73.026757
81.28069,83,73.138838
50.277267,52,73.244595
63.563322,66,73.329663
71.346836,73,73.419197
74.85589,77,73.51535
32.466024,34,73.556664
43.453652,45,73.617969
73.597806,75,73.711926
48.624023,50,73.774971
98.322352,100,73.889985
59.397416,61,73.968032
24.496106,26,74.000127
49.482621,51,74.067838
86.059138,88,74.183814
24.309903,26,74.215414
29.388006,31,74.255436
50.601046,52,74.32049
37.403491,39,74.370008
71.279436,73,74.461332
86.236065,88,74.569992
59.75536,61,74.789417
50.319104,52,74.850545
47.452561,49,83.210559
70.45642,72,83.297846
44.480509,46,83.351898
55.163148,57,83.420973
83.554427,85,83.52258
67.654884,69,83.602118
45.695545,47,83.658098
74.682043,76,83.750472
55.589826,57,83.820712
34.391773,36,83.863167
39.421316,41,83.910945
60.504223,62,83.984825
41.476866,43,84.04174
70.569877,72,84.132509
57.675153,59,84.202365
25.633106,27,84.232516
25.265135,27,84.266727
87.532103,89,84.376371
73.450746,75,84.466383
66.673934,68,84.548682
60.469539,62,84.624533
47.584747,49,84.68278
101.917199,104,84.80736
50.371507,52,84.871285
77.536736,79,84.967673
78.287306,80,85.073825
89.362314,92,85.195225
38.13693,40,85.243519
50.222898,52,85.307152
63.598188,65,85.387729
35.304157,37,85.433419
76.440242,78,85.716767
65.42296,67,85.804714
110.955117,113,94.076477
71.537849,73,94.168792
72.64043,74,94.254724
77.711136,79,94.351398
61.775596,63,94.432719
66.534733,68,94.515114
33.536785,35,94.559488
65.979907,68,94.646168
96.091389,98,94.765854
84.476035,87,94.874337
82.669749,84,94.981121
87.542623,89,95.093899
77.258563,79,95.202425
74.538497,76,95.297622
72.388213,74,95.391499
96.124878,98,95.508399
115.02884,117,95.657114
50.557034,52,95.726422
65.523688,67,95.834423
92.567907,94,95.976669
41.547184,43,96.030105
97.427147,99,96.163851
86.374041,88,96.272806
67.651523,69,96.370211
101.6023,103,96.695462
76.143057,78,96.82325
73.281234,75,104.789926
91.086853,93,104.906958
84.406579,86,105.013218
84.249241,86,105.123356
75.393771,77,105.221502
88.410197,90,105.343478
111.965926,114,105.480273
81.984668,84,105.584846
107.583442,109,105.761895
71.900326,74,105.853398
92.675766,95,105.970225
72.476115,74,106.062985
109.527705,111,106.208681
63.351666,65,106.297334
78.512073,80,106.403771
85.148643,87,106.508196
110.222965,112,106.682148
111.488445,113,106.823302
113.37255,115,106.958867
99.187148,101,107.086578
75.180781,77,107.356591
77.199635,79,107.450444
159.076918,161,115.942656
90.418559,93,116.064162
66.643612,68,116.143746
94.509241,96,116.258447
99.692552,102,116.377265
75.850635,78,116.476391
102.397543,104,116.606703
92.556526,94,116.729378
124.248198,126,116.88459
124.439362,126,117.045591
71.4805,73,117.136967
70.218458,72,117.242874
75.708162,77,117.337191
90.346463,93,117.463376
71.67832,73,117.54972
69.597845,71,117.635511
113.204189,115,117.78388
119.143109,121,117.925342
63.699322,65,118.000983
105.315704,107,118.296294
99.336414,101,118.412837
101.374205,103,118.566045
121.514655,123,126.406087
69.821397,72,126.497792
88.006807,90,126.604577
74.101817,77,126.697003
115.552261,118,126.839483
71.509247,73,126.928076
101.46915,103,127.055155
83.51888,86,127.156414
79.987934,82,127.25458
96.53396,99,127.417383
90.391414,92,127.532794
136.382366,139,127.703307
88.017331,90,127.810908
67.414045,69,127.897473
72.313332,75,127.992872
74.339906,77,128.086296
86.43004,89,128.193311
105.548597,108,128.334443
131.486838,134,128.691744
83.881543,86,128.797644
99.02336,101,128.920439
68.474438,70,129.006827
87.752075,90,137.342523
113.910756,116,137.495939
75.719828,78,137.599421
74.714838,77,137.745093
77.56655,80,137.858417
71.808235,74,137.95408
74.144032,76,138.066274
74.823708,77,138.177786
81.531375,84,138.290707
95.521099,98,138.437482
103.160031,106,138.583407
75.828666,78,138.705459
77.582137,80,138.812457
155.271216,157,139.026997
84.323672,86,139.145947
73.235832,75,139.248915
96.912422,99,139.379322
94.803575,97,139.538324
119.452202,122,139.893265
74.789632,77,139.994385
94.181737,96,140.140158
81.256602,84,140.254176
81.859873,84,149.51785
115.820798,118,149.674012
87.569889,90,149.810474
137.602206,140,150.021801
94.500386,97,150.15919
82.668143,85,150.270441
103.62873,106,150.405385
195.669247,198,150.675668
72.629476,75,150.779498
87.47602,90,150.898255
138.255067,141,151.104034
123.871,126,151.288469
78.876641,81,151.41814
75.590815,78,151.682137
111.255341,113,151.899749
105.598656,108,152.300468
89.153722,91,152.420319
90.464849,93,152.577781
71.620719,74,152.673733
136.436722,139,160.995217
78.716698,81,161.108975
82.457478,85,161.220468
108.796976,111,161.362447
78.954127,81,161.467745
101.749456,104,161.603905
102.627604,105,161.753279
100.678639,103,161.890948
168.478858,171,162.166589
103.606816,106,162.302568
83.898633,86,162.419571
96.554633,99,162.555171
78.895607,81,162.661402
100.977699,103,162.786422
78.892399,81,162.891229
84.963448,87,163.008956
81.891163,84,163.32421
74.062686,76,163.428138
82.56717,85,163.539028
77.883313,80,163.64067
116.717366,119,163.797496
83.708612,86,163.908552
119.421754,122,172.190286
74.654401,77,172.30514
171.880059,174,172.535157
83.34821,86,172.644642
122.626948,125,172.807354
100.520668,103,172.947076
85.602668,88,173.068584
126.780663,129,173.243883
113.527896,115,173.392259
80.641317,83,173.502681
101.842129,104,173.632874
208.169198,211,173.939003
99.647566,102,174.084236
130.540037,133,174.442849
84.488907,87,174.563872
112.514182,115,174.748349
92.557363,95,174.878479
121.264593,124,183.221826
108.177064,110,183.378701
94.457884,97,183.496525
130.552903,133,183.667075
91.039132,93,183.786328
176.14571,179,184.020518
110.606511,113,184.181127
82.759461,85,184.292828
138.180935,140,184.489787
129.481014,132,184.663965
115.615293,118,184.811387
140.194266,142,185.001884
99.571363,101,185.143884
105.54248,108,185.514824
103.800718,106,185.657648
81.088308,83,185.788633
87.713633,90,185.912281
70.568919,73,186.008146
125.065491,127,186.18935
122.749059,125,194.650975
80.469677,83,194.758857
133.481435,135,194.937463
76.674385,79,195.052202
84.563349,87,195.161197
85.355669,88,195.333255
90.650362,93,195.481846
89.560094,92,195.629153
89.483034,92,195.787381
174.763994,177,196.090357
85.804506,88,196.269022
133.777918,136,196.485936
102.59401,105,196.631098
104.689161,107,196.981996
104.655664,107,197.118675
77.532951,80,197.234531
76.66494,79,197.353762
160.509907,163,197.571689
83.47255,86,197.684228
94.743986,97,205.923641
96.719168,99,206.058715
98.594831,101,206.187261
103.433679,106,206.338195
79.459308,82,206.447884
80.448056,83,206.5592
77.408993,80,206.665965
124.658976,127,206.850302
129.850748,132,207.036451
90.299731,93,207.161241
124.871001,127,207.339005
110.680754,113,207.483208
82.510586,85,207.600707
91.296686,94,207.79059
102.669591,105,208.144881
76.468231,79,208.249982
107.569731,110,208.391402
83.096589,86,208.499812
133.557765,136,208.6702
114.008158,116,208.8192
111.586447,114,217.114924
87.143431,90,217.233489
131.66162,134,217.42365
95.506242,98,217.554449
127.421627,130,217.731682
157.868947,160,217.942078
101.266036,104,218.080178
68.578391,71,218.178532
86.947893,90,218.307361
99.18368,102,218.447995
151.317595,154,218.646275
170.645505,173,219.112664
142.666809,145,219.316214
191.032899,193,219.582306
152.351834,155,219.793272
133.083283,136,219.979565
137.661803,140,228.371026
90.215126,93,228.500036
139.234574,142,228.689329
87.211468,90,228.815002
116.169499,119,228.972222
104.425585,107,229.126158
176.07382,179,229.370563
92.300396,95,229.493335
167.694186,170,229.722715
89.117796,92,229.844338
136.653862,139,230.240418
107.237021,110,230.381419
114.786986,117,230.53798
154.402503,157,230.757889
85.128598,88,230.87856
92.360472,95,231.002247
117.353453,120,231.169576
79.219382,82,239.391696
103.102438,106,239.540004
182.484152,185,239.813458
113.574313,116,240.006277
134.435648,137,240.201901
85.234429,88,240.317367
118.247926,121,240.479689
130.469011,133,240.655892
99.666765,102,240.797893
128.159956,131,240.979042
108.204096,111,241.339473
110.427197,113,241.490811
101.056903,104,241.634196
108.606759,111,241.779137
120.498076,123,241.943731
149.51471,152,242.150506
80.484792,83,242.261021
85.315363,88,242.383358
181.486151,184,251.798788
96.392561,99,251.971321
85.887053,89,252.129799
161.028341,164,252.423248
132.34796,135,252.647697
164.325404,167,252.914268
167.617796,170,253.190678
194.478281,197,253.789841
155.260276,158,254.053678
112.191327,115,254.236544
133.205776,136,254.458677
97.155006,100,254.614316
110.581785,113,254.798033
92.43523,95,254.953947
90.310469,93,255.102206
139.43192,142,264.822948
103.945099,107,264.999954
102.629273,106,265.186877
125.513403,128,265.388961
126.988772,131,265.636948
107.886474,111,265.870128
103.288793,107,266.086036
