#{"t_start": 1779258896.5541537, "env_id": "None"}
r,l,t
43.210243,45,5.717161
54.074976,56,9.537001
26.408433,28,11.54256
27.554995,29,13.753466
23.454973,25,15.325099
29.344121,31,17.295298
43.141972,45,20.62244
50.151149,52,24.135312
28.523323,30,26.050307
50.317359,52,30.003826
52.399441,54,34.434306
53.986181,56,38.260304
49.295311,51,41.40644
70.738749,73,45.472814
53.982418,56,48.880854
23.100847,25,50.886017
41.484156,43,54.174476
44.476188,46,57.956674
23.134884,25,59.910197
48.344419,50,63.992079
33.811271,36,66.945446
65.1799,67,72.508441
23.476997,25,74.519093
49.927976,52,85.117048
42.616205,44,85.166674
33.619359,35,85.203253
30.527387,32,85.235563
34.367751,36,85.274004
56.638288,58,85.333349
24.457566,26,85.360105
44.545633,46,85.407661
93.160927,96,85.506172
32.228159,34,85.541898
21.420311,23,85.568466
23.452377,25,85.596387
20.439207,22,85.618536
15.207843,17,85.636628
34.611769,36,85.675248
38.662781,40,85.715577
28.413272,30,85.746308
35.591975,37,85.789762
28.300703,30,85.818644
67.092853,69,85.892477
52.495603,54,85.946812
26.366932,28,85.975182
48.469507,50,86.028816
27.505825,29,86.06227
19.159844,21,86.086245
29.487662,31,86.303557
27.578738,29,86.332649
17.234853,19,92.26849
83.337774,86,92.368421
31.582635,33,92.409658
84.58237,86,92.512187
28.489836,30,92.547026
28.875757,31,92.578299
34.37683,36,92.623769
59.909336,62,92.684666
102.269386,104,92.801519
19.037917,21,92.824231
37.451476,39,92.864519
78.547066,81,92.957359
57.296472,59,93.024225
75.349129,78,93.111483
52.1555,54,93.168897
39.37414,41,93.216289
24.392645,26,93.243748
41.07822,43,93.29669
70.616244,72,93.384712
61.294036,63,93.459168
69.374598,72,93.557216
22.501499,24,93.580832
55.3883,57,93.646885
25.330614,27,93.674735
19.288344,21,93.696741
75.146584,77,93.781867
27.206772,29,93.818749
50.472523,52,93.875039
58.242493,60,93.94808
66.420604,68,94.026377
53.426428,55,94.083794
41.50852,43,94.131944
44.537462,46,94.182888
49.372962,51,94.252625
39.354411,41,94.29367
75.423123,79,94.390308
52.346826,54,94.471012
34.504384,36,94.512648
77.948773,80,94.726268
38.692371,40,100.895114
76.51064,78,101.008262
62.135745,64,101.088798
79.621834,81,101.224413
67.593211,69,101.304594
34.485335,36,101.347455
58.551414,60,101.408988
58.525654,60,101.474891
63.634753,65,101.541702
64.545924,66,101.614736
53.574219,55,101.677193
61.618623,63,101.752488
30.506093,32,101.795342
64.605529,66,101.870231
85.365921,87,101.984429
52.396161,54,102.042233
76.603801,78,102.127722
74.614088,76,102.261224
53.15841,55,102.323087
87.408483,89,102.419964
99.255297,101,102.529057
85.093756,87,102.636863
75.376493,77,102.722146
96.643126,98,102.831256
64.617646,66,102.907205
61.645158,63,102.991832
66.585331,68,103.075269
86.192027,88,103.176069
87.75999,91,103.405374
90.663836,92,109.450502
64.187598,66,109.527983
104.36296,106,109.682108
59.438172,61,109.754928
79.174706,81,109.849884
79.163087,81,109.964585
98.232169,101,110.077861
73.696936,76,110.194813
77.204457,79,110.281429
72.532903,74,110.364152
86.472436,88,110.463883
76.581148,78,110.550586
92.4976,94,110.654313
68.633256,70,110.743359
72.312683,74,110.826621
69.369911,71,110.901704
78.46006,80,110.993025
64.584297,66,111.069918
110.232391,113,111.195925
97.062678,99,111.312284
80.520873,82,111.478123
88.461014,90,111.601589
71.432934,73,111.682892
66.388448,68,111.916409
92.17747,94,112.012156
94.886752,98,117.989726
67.685245,69,118.066706
67.279909,69,118.143623
91.510369,93,118.254092
104.306764,106,118.379219
95.365449,97,118.48135
75.657398,77,118.563345
69.520532,71,118.683092
136.206101,139,118.840418
96.490312,98,118.95686
92.030465,94,119.057465
74.3928,76,119.137832
68.412094,70,119.274288
67.626291,69,119.364952
66.470376,68,119.444936
71.429392,73,119.527598
79.239788,81,119.656416
76.550041,78,119.739155
72.387097,74,119.821338
93.409527,95,119.949278
72.590268,74,120.089579
77.294762,79,120.181683
67.417716,69,120.403337
131.654765,134,120.565897
78.425914,80,126.353835
109.221561,111,126.474712
111.366832,114,126.600835
75.633773,77,126.689349
76.469189,78,126.768666
115.511088,117,126.910367
67.598539,69,126.988122
119.377643,121,127.133591
86.479231,88,127.239679
94.076358,96,127.339335
100.174119,102,127.451803
70.016453,72,127.547414
70.648824,72,127.626914
80.164306,82,127.717949
90.911611,93,127.82015
71.493494,73,127.906255
80.165759,82,128.001904
107.814521,110,128.161216
112.992429,115,128.302323
72.192798,74,128.527064
84.142966,86,128.622343
72.633862,74,128.745795
133.040545,135,134.715508
96.310857,98,134.825453
119.307526,121,134.959884
136.480077,139,135.113826
74.423029,76,135.202452
101.567427,103,135.315934
75.340417,77,135.400631
85.35712,87,135.53389
84.050131,86,135.63019
88.543249,91,135.766328
115.173743,117,135.892531
98.911968,102,136.016111
155.114781,157,136.186587
67.421094,69,136.298325
79.564869,81,136.39267
66.416668,68,136.468591
117.657363,119,136.596445
92.078293,94,136.697873
115.431117,118,137.003866
101.545958,103,137.112504
85.997704,88,137.209364
76.967292,79,142.96855
85.560294,87,143.067905
119.644387,122,143.224884
72.069259,74,143.31461
130.113917,132,143.461992
78.442087,81,143.547055
73.972525,76,143.630853
79.590292,82,143.743109
73.696473,76,143.830533
87.281451,90,143.934584
74.66334,77,144.024044
101.317831,104,144.14258
69.048332,71,144.219075
85.785109,88,144.319262
80.371659,83,144.418205
133.331003,135,144.569651
83.672581,86,144.658957
70.279432,72,144.739946
72.380179,74,144.823774
100.204444,103,145.086507
148.515646,151,145.278723
93.458276,96,145.389915
106.478481,109,151.176177
74.728232,77,151.266988
163.236367,166,151.485999
88.286021,91,151.580903
75.814859,78,151.665109
89.795695,92,151.765827
79.526768,82,151.860644
111.320058,114,152.027565
73.859954,76,152.111927
120.196997,123,152.297453
76.87307,79,152.383766
78.680471,81,152.471437
165.204341,168,152.646047
83.566332,86,152.815669
103.561275,106,152.928884
118.487522,121,153.06513
72.805123,75,153.320123
90.517625,93,153.426577
72.693688,75,153.508799
71.082823,73,153.586027
71.056957,73,153.661608
143.59037,146,159.404375
86.360503,89,159.502428
77.280695,80,159.590549
99.666126,102,159.697469
71.660985,74,159.7757
79.204384,81,159.855055
84.444295,87,159.958077
108.441684,111,160.082896
89.570948,92,160.189633
120.291168,123,160.319959
87.748171,90,160.413825
76.533411,79,160.500431
115.646071,118,160.624301
82.83662,85,160.719629
116.9649,119,160.863128
77.434341,80,160.985325
116.539418,119,161.299874
80.386348,83,161.397224
66.791237,69,161.495737
133.118452,136,161.657076
75.520224,78,161.743042
116.908221,119,168.694517
79.60569,82,168.785104
75.459611,78,168.871815
95.550974,98,168.986378
108.511485,111,169.125228
85.755172,88,169.231496
74.714704,77,169.312662
84.447498,87,169.419983
77.499538,80,169.508184
103.752112,106,169.662503
94.687865,97,169.767751
92.534286,95,169.867566
80.497365,83,169.965236
70.684448,73,170.040079
91.57957,94,170.1461
98.177168,101,170.266793
152.375791,155,170.593859
127.421115,130,170.727767
74.629484,77,170.812502
104.841538,107,170.93051
108.625321,111,171.047395
110.281804,113,177.008143
73.553845,76,177.089428
84.774554,87,177.187508
106.472288,109,177.338662
79.873059,82,177.46362
112.704277,115,177.59509
94.228505,97,177.696462
95.576902,98,177.797208
88.409383,91,177.899093
74.669893,77,177.989936
72.543915,75,178.069555
73.684411,76,178.14889
108.590859,111,178.277134
74.591557,77,178.380739
110.601968,113,178.531993
150.42765,153,178.88325
172.501449,175,179.076446
79.572026,82,179.206704
81.585888,84,179.310393
139.38262,142,179.471397
148.344065,151,185.348054
131.482305,134,185.482454
122.682191,125,185.6089
82.382185,85,185.703218
90.755766,93,185.796596
118.742057,121,185.926346
82.520323,85,186.016003
79.672662,82,186.095091
104.643397,107,186.207558
100.364844,103,186.308367
111.467799,114,186.443515
107.826215,110,186.578668
119.556004,122,186.742011
84.602254,87,186.99564
146.653267,149,187.172463
73.702054,76,187.26247
92.723109,95,187.358082
99.754185,102,187.508903
87.78402,90,187.61347
92.768519,95,193.258484
82.465229,85,193.354624
81.487336,84,193.441481
85.624099,88,193.528979
77.768907,80,193.606791
96.728328,99,193.709157
78.369351,81,193.791409
74.501483,77,193.86797
101.625403,104,193.977144
145.537951,148,194.166008
162.735272,165,194.340096
100.496705,103,194.449666
153.400173,156,194.609722
87.826843,90,194.700285
112.707459,115,194.968926
76.580642,79,195.119513
88.823118,91,195.212773
87.512999,90,195.305199
93.648198,96,195.443437
127.715652,130,195.573545
73.687572,76,195.654329
87.415726,90,201.106781
82.491515,85,201.210632
90.709349,93,201.325832
110.728515,113,201.450179
112.570843,115,201.602048
85.426708,88,201.703988
90.618929,93,201.80777
86.454857,89,201.917009
150.165293,153,202.105375
94.587239,97,202.236864
90.488919,93,202.343668
143.508217,146,202.514122
76.525814,79,202.612639
101.719968,104,202.95977
94.633239,97,203.079524
88.664376,91,203.21276
96.521773,99,203.342434
103.363828,106,203.470425
96.530144,99,203.576219
101.524075,104,203.684769
111.790198,114,209.429122
88.588938,91,209.539965
93.402558,96,209.655432
132.660186,135,209.819925
83.635329,86,209.933123
