#{"t_start": 1779258896.553719, "env_id": "None"}
r,l,t
35.560402,37,5.312926
51.396433,53,8.759413
29.615024,31,11.104928
20.356935,22,12.655885
31.673681,33,14.879136
40.487692,42,17.58955
31.531026,33,20.108544
31.398865,33,22.424751
26.434432,28,24.18176
23.286357,25,25.829052
58.554402,60,30.333056
21.361532,23,32.273134
39.556587,41,35.561356
41.436236,43,38.3115
49.439459,51,41.470244
35.396513,37,43.534277
28.385094,30,45.155192
25.387116,27,46.606428
22.300714,24,48.148215
22.387333,24,50.016882
28.412588,30,52.331584
21.462447,23,54.112853
32.561142,34,56.872423
29.344605,31,59.361681
22.911057,25,61.382978
21.361795,23,63.261074
45.577015,47,67.095853
22.184867,24,69.13541
20.355835,22,70.956872
22.097795,24,72.90535
39.587537,41,85.066474
51.454213,53,85.144022
24.327712,26,85.171124
29.41435,31,85.20375
66.547964,68,85.27439
37.608012,39,85.313842
45.190788,47,85.363912
34.367628,36,85.399986
31.403177,33,85.432996
47.260433,49,85.483886
21.149269,23,85.507617
33.538875,35,85.544303
53.271347,55,85.605721
34.563201,36,85.643086
64.587082,66,85.711862
59.998593,62,85.780845
26.438489,28,85.807905
25.528867,27,85.83507
60.070525,62,85.901693
29.542034,31,85.932647
68.532498,70,86.005221
42.206485,44,86.051802
58.9303,61,86.306574
41.942609,44,86.349363
43.403194,45,92.323244
47.102452,49,92.375661
32.253188,34,92.418218
74.533089,76,92.508715
75.346819,77,92.600165
50.638011,52,92.650972
50.161798,52,92.710212
100.568737,102,92.820682
43.523625,45,92.86688
71.295789,73,92.952337
59.896316,62,93.021517
44.613928,46,93.070398
90.022169,92,93.172642
25.426575,27,93.205295
65.555388,67,93.278948
26.54128,28,93.321547
87.100123,89,93.425343
37.229909,39,93.468044
67.433662,69,93.561932
73.618988,75,93.646169
54.510627,56,93.706887
81.84285,84,93.798213
35.625936,37,93.841532
43.491604,45,93.890577
69.621106,72,93.979415
29.571714,31,94.012398
27.431635,29,94.048328
41.965122,44,94.09167
32.483889,34,94.131098
34.571038,36,94.170846
89.574936,91,94.281856
77.650212,80,94.379702
21.238533,23,94.402529
42.37138,44,94.474084
73.354633,75,94.679336
