#{"t_start": 1779258896.5695605, "env_id": "None"}
r,l,t
34.69057,36,5.245579
79.375199,81,10.783781
24.289334,26,12.640927
22.266903,24,14.30668
26.494332,28,16.132014
41.32915,43,19.134232
41.480763,43,22.211891
34.397638,36,24.409385
117.607513,120,33.572798
46.614326,48,37.159921
40.356432,42,39.689921
38.199972,40,42.190502
34.337599,36,44.04201
23.390328,25,45.516064
26.430337,28,47.037329
35.431293,37,49.688043
45.442481,47,53.308543
29.364011,31,55.742932
28.564113,30,58.248656
31.395293,33,60.922403
83.175499,85,67.857425
28.533255,30,70.360312
28.127415,30,72.813072
49.523342,51,85.070793
23.405284,25,85.107056
49.455793,51,85.161693
19.350578,21,85.183059
36.454247,38,85.222133
19.211948,21,85.242316
28.126356,30,85.275943
34.173328,36,85.312767
73.347598,75,85.390259
57.239087,59,85.451128
45.436617,47,85.498699
16.178211,18,85.518143
32.629447,34,85.556859
48.438357,50,85.60976
18.32159,20,85.630623
35.699466,37,85.669868
28.377119,30,85.700155
23.569104,25,85.726004
33.511706,35,85.767132
55.234523,57,85.8235
39.518629,41,85.869719
25.088168,27,85.897239
40.450791,42,85.938417
44.188605,46,85.986467
35.660985,37,86.025669
32.304138,34,86.06674
31.539077,33,86.102499
36.434362,38,86.324214
73.648094,75,92.328354
18.332884,20,92.349608
39.697289,41,92.399659
42.579455,44,92.450399
18.254782,20,92.475209
84.458913,86,92.57523
86.436536,88,92.664898
34.208803,36,92.709812
22.400511,24,92.733896
59.421457,61,92.803029
39.476084,41,92.845351
64.830949,67,92.924551
68.105512,70,93.00155
82.713297,85,93.096262
32.425837,34,93.132779
51.265445,53,93.192813
43.35571,45,93.242028
93.339929,96,93.360812
26.504302,28,93.3976
46.61332,48,93.449364
42.355305,44,93.496949
66.372879,68,93.592723
31.460142,33,93.628637
67.508641,69,93.705435
86.507665,89,93.80444
35.384512,37,93.843893
48.560615,50,93.906586
50.550246,52,93.96467
64.09873,66,94.038795
31.4971,33,94.072273
38.316463,40,94.117678
32.545432,34,94.155287
28.482913,30,94.19183
72.527289,74,94.279372
40.286212,42,94.332246
80.517439,83,94.442037
41.49672,43,94.497295
46.551215,48,94.670819
53.628078,55,94.738435
100.513711,102,101.000148
114.218288,117,101.146686
68.362399,70,101.267883
87.059469,90,101.367436
73.397016,75,101.443563
104.223937,106,101.562339
85.295045,87,101.657618
140.005766,143,101.826206
67.271805,69,101.917733
80.13025,82,102.014337
81.668936,83,102.10548
72.557815,74,102.233411
48.637694,50,102.294428
27.578801,29,102.322234
70.550725,72,102.402581
76.35609,78,102.489377
80.627826,83,102.589734
75.603827,77,102.676381
51.648255,53,102.733828
72.56185,74,102.815959
86.267119,88,102.915365
71.556011,74,103.016559
87.503388,90,103.120033
76.494821,78,103.333142
67.286258,69,103.412201
127.203842,129,109.506437
79.439978,81,109.626705
67.558879,69,109.712872
75.000117,77,109.800704
82.634149,85,109.923805
70.549535,72,110.009304
75.580244,77,110.093643
76.451863,79,110.214636
70.377227,72,110.28879
78.541819,80,110.376484
95.329716,97,110.485584
104.932073,107,110.606366
75.660447,77,110.704216
85.378013,87,110.799905
76.636554,78,110.884298
79.305055,81,110.976692
87.15051,89,111.075715
116.286064,118,111.213868
101.36903,103,111.362109
66.635522,68,111.488948
73.123247,75,111.588236
62.794264,65,111.661169
130.710188,133,111.962118
99.274999,101,117.942309
94.482083,96,118.045695
130.433226,132,118.191846
81.051269,83,118.296802
95.552788,97,118.401843
71.52293,73,118.481311
150.876647,153,118.687589
73.536093,75,118.778551
98.456472,100,118.891397
95.740132,98,118.999033
83.736936,86,119.092395
78.650575,80,119.23766
77.673199,79,119.334447
93.609982,95,119.454029
77.621958,79,119.542611
73.429292,75,119.66485
85.572041,87,119.758684
85.419064,87,119.857389
116.376381,118,120.021034
108.772408,111,120.329258
85.35404,87,120.438202
81.259146,83,120.535681
59.597471,61,120.607561
83.190247,85,126.393918
94.592977,96,126.500769
131.417146,134,126.656353
95.242815,97,126.755351
80.451877,82,126.848395
106.992865,109,126.979988
114.901102,117,127.123042
91.396614,93,127.233165
118.338254,120,127.361245
69.244977,71,127.437524
74.668819,76,127.537741
75.307692,77,127.621483
74.951346,77,127.707707
110.21987,112,127.832063
81.282636,83,127.93185
75.43633,77,128.015711
70.435115,72,128.135734
81.775024,84,128.233331
117.423262,119,128.516336
92.33704,94,128.665708
76.46115,78,128.747438
120.133242,122,134.704381
102.461076,105,134.822892
71.438247,73,134.904183
113.020736,115,135.030664
72.165785,74,135.112911
73.841875,76,135.201824
84.130102,86,135.296497
77.63157,80,135.383504
82.070372,84,135.514621
98.58345,101,135.627095
71.311704,73,135.743653
73.444739,75,135.829644
86.456646,89,135.929421
112.423972,114,136.058285
68.543439,70,136.133225
129.387004,132,136.317916
101.556702,103,136.435123
75.531647,77,136.517047
113.613367,115,136.640594
71.152874,73,136.883764
70.128545,72,136.974095
76.575123,78,137.059386
78.550608,81,137.148303
67.445895,69,137.221194
95.314239,98,142.999053
203.259441,206,143.260623
88.769018,91,143.366037
71.990854,74,143.446828
104.517109,107,143.563846
72.024661,74,143.645896
117.383066,119,143.80049
123.57551,126,143.947496
126.801572,129,144.097969
119.333662,122,144.224067
82.540231,85,144.323379
68.425339,70,144.406734
