#{"t_start": 1779258896.5781384, "env_id": "None"}
r,l,t
29.349812,31,4.984813
25.570493,27,6.541801
65.098191,67,11.286586
50.855276,53,14.975661
123.970705,126,23.753925
33.520425,35,25.917344
25.358055,27,27.791346
32.160309,34,30.57645
49.681922,51,34.721795
31.422931,33,37.099644
48.184792,50,40.126021
26.510617,28,41.882666
43.442901,45,44.249266
25.346905,27,45.814534
53.374604,55,49.343388
66.536844,68,54.590617
31.302713,33,57.363482
36.51693,38,60.41177
40.629594,42,63.813002
51.392784,53,68.187316
40.509688,42,71.653504
25.492372,27,73.845489
35.569286,37,85.059343
36.363649,38,85.112534
35.321104,37,85.151142
39.544801,41,85.19331
24.485397,26,85.219102
43.380323,45,85.267214
46.673938,48,85.31604
42.466543,44,85.36344
38.376374,40,85.402933
34.355743,36,85.440757
24.540207,26,85.466691
17.274716,19,85.486288
31.312012,33,85.521172
22.502731,24,85.549245
32.3685,34,85.585548
26.00425,28,85.614852
20.445743,22,85.637269
30.557379,32,85.671068
36.664081,38,85.709853
42.299088,44,85.760578
44.53329,46,85.805567
48.511482,50,85.861071
52.485361,54,85.914778
42.975288,45,85.960962
32.045243,34,85.997583
26.586937,28,86.02623
38.580997,40,86.074044
32.396742,34,86.294191
39.59363,41,92.252232
59.006532,61,92.325263
70.432066,73,92.411025
58.700539,60,92.483478
62.134774,64,92.553262
75.57412,77,92.636741
81.698087,84,92.729317
59.418935,61,92.79839
62.337453,64,92.863909
79.717088,82,92.957318
65.514728,67,93.035159
24.523826,26,93.060254
45.408028,47,93.116315
54.058653,56,93.180007
33.30699,35,93.216762
71.543589,73,93.312024
27.371292,29,93.343324
21.342196,23,93.369544
37.43075,39,93.415634
39.57518,41,93.458952
41.34018,43,93.508965
55.599088,57,93.592726
23.290104,25,93.618961
58.17646,60,93.684064
25.565057,27,93.715227
55.776686,58,93.77597
65.40083,67,93.852982
31.606796,33,93.897005
54.445602,56,93.958848
78.398618,80,94.048212
65.448706,67,94.121084
41.265122,43,94.171403
63.106283,65,94.25169
51.682069,53,94.312246
45.742469,47,94.369651
30.57103,32,94.419487
55.99978,58,94.496506
57.556326,59,94.675733
72.637511,74,100.89586
102.55166,105,101.038881
48.313819,50,101.096979
65.647835,67,101.220679
99.530347,101,101.336251
49.471009,51,101.38727
110.309998,112,101.505457
75.628898,77,101.590523
69.300586,71,101.670741
74.718757,76,101.767411
75.530999,77,101.854097
123.027031,125,102.010284
93.140855,95,102.113234
37.221332,39,102.203032
67.661375,69,102.28585
132.468578,134,102.428627
99.328944,101,102.541554
101.397252,103,102.666723
72.417851,74,102.750408
85.417094,87,102.848871
75.627651,77,102.941695
126.137592,129,103.097073
73.587416,75,103.307173
39.677835,41,103.359233
93.47334,95,109.40712
