#{"t_start": 1779258896.553717, "env_id": "None"}
r,l,t
24.429506,26,4.763484
30.56872,32,6.566853
41.637586,43,9.536849
70.57816,72,14.723899
42.368315,44,17.512489
76.107717,78,23.226482
59.431775,61,27.143601
30.473356,32,29.608287
36.46563,38,32.740179
47.308993,49,36.511088
59.530866,61,40.266825
35.591396,37,42.578273
24.306531,26,43.869862
51.493275,53,46.808278
43.641526,45,50.016746
50.291708,52,54.04197
42.17651,44,57.646453
19.30168,21,59.280043
58.417038,60,64.161749
47.442378,49,68.211286
20.25702,22,70.058186
21.069394,23,71.900221
63.59148,65,85.092448
58.595214,60,85.163578
43.134935,45,85.210585
32.470847,34,85.244248
21.393447,23,85.269927
32.458237,34,85.303843
24.547924,26,85.331402
28.454381,30,85.363534
30.466622,32,85.396056
53.528157,55,85.45139
31.584469,33,85.48572
35.6039,37,85.524899
47.570654,49,85.579234
22.45788,24,85.604733
35.574279,37,85.643076
30.166907,32,85.677755
35.350777,37,85.714898
47.310208,49,85.769742
35.584621,37,85.806949
37.587317,39,85.847528
62.348712,64,85.91588
36.16967,38,85.952951
45.670273,47,86.002168
44.296939,46,86.050507
36.540894,38,86.096125
77.179742,79,92.279396
42.20449,44,92.333624
24.481387,26,92.360884
83.170323,85,92.461701
58.587504,60,92.533382
45.630222,47,92.585121
59.294144,61,92.651967
40.385395,42,92.699081
76.329087,78,92.780977
39.443427,41,92.828354
47.269823,49,92.878863
34.643423,36,92.925535
60.255961,62,92.989909
41.477227,43,93.041626
54.371992,56,93.103431
43.541155,45,93.152818
63.508129,65,93.225173
51.986164,54,93.285964
49.564643,51,93.353976
67.612191,69,93.434733
85.886595,88,93.532097
34.519736,36,93.588258
19.28446,21,93.615644
61.359968,63,93.681271
26.479031,28,93.715103
30.402986,32,93.751125
110.47952,112,93.874076
51.169504,53,93.940123
38.328978,40,93.984088
36.706261,38,94.028831
63.726774,65,94.095447
39.391019,41,94.141951
53.563845,55,94.20723
57.243599,59,94.27963
56.597114,58,94.349691
34.186912,36,94.39176
69.271839,71,94.493145
40.516357,42,94.662358
38.030465,40,94.701844
50.379899,52,100.890639
99.614563,101,101.02805
73.528488,75,101.122157
96.897648,99,101.282467
78.802581,82,101.373676
70.639491,72,101.44765
67.33027,69,101.521473
43.456879,45,101.573595
90.528518,92,101.674446
89.62988,91,101.787326
92.271011,94,101.892254
84.137023,86,102.005968
117.679978,120,102.136391
83.61145,86,102.28328
101.015958,103,102.395034
68.512479,70,102.473577
74.526998,76,102.553742
68.620103,70,102.642457
74.503907,76,102.726525
55.268064,57,102.792046
67.725481,69,102.871943
53.600735,55,102.930079
33.686016,35,102.983715
69.945811,72,103.069298
69.015157,71,103.149999
71.371029,73,103.361342
115.261668,117,109.437623
76.305329,78,109.527297
69.546349,71,109.637005
77.296726,79,109.736032
126.743072,129,109.898139
71.128549,73,109.989292
72.486048,74,110.073099
73.262766,75,110.184762
81.456549,83,110.279702
66.43727,68,110.355924
76.903828,79,110.445272
97.878005,100,110.555562
92.730694,96,110.662811
118.073132,120,110.803893
86.241,88,110.901987
84.664064,87,111.000172
63.35791,65,111.075995
73.644841,75,111.156117
69.526755,71,111.241532
75.274228,77,111.335791
70.383558,72,111.492606
103.2738,106,111.628537
84.568691,86,111.868115
85.235605,87,111.973895
107.145255,109,117.962404
105.403619,107,118.077187
115.517582,118,118.208601
116.296174,118,118.357975
74.507863,76,118.434125
105.148627,107,118.550937
138.529868,141,118.743386
76.614603,78,118.834283
69.677513,71,118.920508
67.712476,69,118.996874
71.587845,73,119.075541
116.903176,119,119.264
94.070527,96,119.383944
77.062957,79,119.480126
75.614672,77,119.56637
81.668153,83,119.695995
73.484456,75,119.77748
107.374255,109,119.905529
136.288398,138,120.129689
99.463699,101,120.390176
119.275039,121,120.534444
78.634892,80,126.323952
92.216889,94,126.423888
105.188419,107,126.543387
81.525141,83,126.63655
81.397692,84,126.729104
89.119767,91,126.825059
88.96526,91,126.941643
126.467484,128,127.081615
67.297761,69,127.183749
112.403197,114,127.30414
78.483875,80,127.390297
77.141909,79,127.47918
74.639456,76,127.57882
67.270815,69,127.649511
122.305359,124,127.791849
74.542859,76,127.878469
97.159479,99,127.993982
103.065181,105,128.147664
109.565424,111,128.283059
75.216595,77,128.373506
87.239589,89,128.610808
75.491019,78,128.73923
72.190019,74,128.818236
70.073043,72,134.720092
70.489752,72,134.799764
70.103542,72,134.880043
72.339833,74,134.964461
71.345399,74,135.045336
69.49468,71,135.124197
88.304615,90,135.227075
122.48467,125,135.364163
79.522673,81,135.455796
95.258611,97,135.595263
81.990212,84,135.731785
77.352165,80,135.821107
74.976495,77,135.900046
142.082153,144,136.06994
77.308373,79,136.154055
99.971426,102,136.302418
88.154757,90,136.405967
104.318634,106,136.521103
106.335357,108,136.639902
87.484636,89,136.899257
80.311758,82,137.001829
89.925828,92,137.098841
84.2723,86,137.194293
70.859261,73,142.946895
136.245056,139,143.104976
78.220958,80,143.214581
87.185096,89,143.319387
96.985251,99,143.424939
66.57906,68,143.504258
84.7192,87,143.599428
81.324244,84,143.69189
87.129023,90,143.816067
137.433042,140,143.980762
117.443529,119,144.11761
166.817574,169,144.301432
84.368388,86,144.403186
111.049035,113,144.527865
74.490068,76,144.610403
96.399595,99,144.721752
81.347894,83,144.812531
70.655929,73,145.042072
71.448383,73,145.127297
89.296634,92,145.248843
81.223081,83,145.342388
101.567062,104,151.125413
92.43785,95,151.23319
107.65812,110,151.395966
87.104065,89,151.49238
83.118481,85,151.582195
166.394574,169,151.766119
74.301433,76,151.851469
