#{"t_start": 1779258896.5566618, "env_id": "None"}
r,l,t
22.38837,24,4.657193
36.536658,38,6.812046
43.25529,45,10.013022
80.420152,82,15.728507
45.095454,47,18.990502
27.16359,29,21.01352
26.158862,28,23.046648
19.427413,21,24.272855
47.384104,49,27.565463
39.217504,41,30.915814
31.642547,33,33.585229
46.411654,48,37.172461
46.531468,48,40.080133
22.456361,24,41.597299
66.551484,68,45.342665
38.337171,40,47.629897
31.612744,33,50.094098
21.394624,23,51.873415
42.465613,44,55.239026
27.52372,29,57.727827
27.607391,29,59.985918
19.21584,21,61.704233
29.336197,31,64.241099
37.474663,39,67.430404
36.164505,38,70.607727
60.647549,62,85.04354
35.598527,37,85.113356
27.427084,29,85.14675
17.284132,19,85.167004
26.340719,28,85.195824
35.820098,38,85.234835
25.498971,27,85.262574
33.522114,35,85.298965
47.523754,49,85.349778
41.466957,43,85.395061
47.254702,49,85.443923
47.367241,49,85.495838
21.37331,23,85.519393
34.442653,36,85.558155
52.363112,54,85.616788
24.571311,26,85.644148
21.360989,23,85.669348
51.391471,53,85.722959
29.344794,31,85.756078
26.368224,28,85.789211
24.372,26,85.814084
57.175704,59,85.87824
34.49667,36,85.914574
26.526372,28,85.942229
52.285054,54,85.998138
48.433814,50,86.050838
56.392774,58,86.302255
40.29462,42,86.343481
36.694821,38,92.309731
42.525477,44,92.355685
66.473367,68,92.43804
30.556093,32,92.472409
56.120746,58,92.54418
78.731873,82,92.635793
38.589528,40,92.672187
42.483949,44,92.725408
79.585307,81,92.814639
59.746139,61,92.876744
39.291439,41,92.929437
90.173941,92,93.030753
58.221724,60,93.095701
59.052076,61,93.163147
39.261752,41,93.210299
20.28539,22,93.233778
64.85054,67,93.321112
42.182932,44,93.370176
49.546775,51,93.430558
48.754647,50,93.482973
43.362319,45,93.554419
88.238597,91,93.653949
22.38368,24,93.679236
42.571022,44,93.730757
46.364842,48,93.780274
70.551393,72,93.86356
36.098118,38,93.911757
18.416231,20,93.934734
29.355741,31,93.9704
62.294561,64,94.043561
35.244174,37,94.080238
70.401482,72,94.159688
52.531411,54,94.230965
43.258734,45,94.279687
51.611434,53,94.343585
52.343307,54,94.405795
35.15398,37,94.467892
42.582758,44,94.523748
64.3769,66,94.714464
37.553667,39,100.884762
63.168384,65,100.982139
61.620368,63,101.059968
86.36488,88,101.167184
82.675898,84,101.302934
80.834346,83,101.394395
83.406906,85,101.485922
68.283522,70,101.562695
65.399823,67,101.63147
63.250163,65,101.707175
81.56281,84,101.811504
81.329043,83,101.915889
56.659427,58,101.988123
79.43544,81,102.07999
73.652896,75,102.162507
59.153114,61,102.276736
65.135704,67,102.34807
86.778246,90,102.445745
89.671859,92,102.546427
40.405255,42,102.605733
62.515109,64,102.678717
52.606271,54,102.736363
86.103028,88,102.833498
72.527156,74,102.918916
76.645118,79,103.025148
91.186252,93,103.131353
67.077597,69,103.335637
57.448541,59,103.405676
90.438723,93,109.452225
91.465299,93,109.576327
85.938853,88,109.697836
109.257853,111,109.825324
112.691772,115,109.978962
70.556734,72,110.06131
105.022631,107,110.216866
132.577821,134,110.360312
70.498477,72,110.442292
68.610634,70,110.52084
91.386546,93,110.622552
117.529752,119,110.763904
72.36975,74,110.849637
70.29837,72,110.934039
85.359053,87,111.029907
69.153903,71,111.101387
73.504431,75,111.191292
81.488887,83,111.287738
75.293978,77,111.449781
141.979659,144,111.634735
96.395737,98,111.892907
68.304532,70,111.973836
72.521749,74,112.049203
66.43201,68,117.994979
101.016457,103,118.110207
70.254642,72,118.191112
78.133897,80,118.289297
78.636042,80,118.382431
74.614413,76,118.463979
100.119513,102,118.570192
80.515157,82,118.701281
75.476015,77,118.794547
73.338515,75,118.879203
92.054829,95,118.987252
166.154275,168,119.216972
131.392718,133,119.389822
88.591318,90,119.49559
74.539637,76,119.579132
96.519443,98,119.723439
74.598688,76,119.807603
66.545287,68,119.889545
66.620266,68,119.990846
104.137354,106,120.157334
79.139262,81,120.395023
71.696709,73,120.484833
95.153605,97,120.599735
78.65545,80,126.382449
80.253686,82,126.474579
78.035375,80,126.563153
109.167595,111,126.688595
104.242827,106,126.796403
72.386586,74,126.887722
70.456858,72,126.97381
86.48789,89,127.070322
73.446334,75,127.178027
83.734822,86,127.272897
70.491597,72,127.343421
108.565657,111,127.469986
79.507861,81,127.574748
92.505428,94,127.681422
104.319916,107,127.795708
79.352165,82,127.8888
110.262897,112,128.017242
69.294379,71,128.136874
105.087159,107,128.257916
76.067791,78,128.355348
76.588567,78,128.582752
72.619666,74,128.708806
91.965537,94,128.809488
97.950571,100,134.740445
111.730503,114,134.868075
70.534522,72,134.950157
109.396004,111,135.068248
81.443292,84,135.164512
70.373513,72,135.246911
