#{"t_start": 1779258896.5537097, "env_id": "None"}
r,l,t
26.49875,28,4.861391
26.346671,28,6.447641
24.488943,26,8.095772
37.435371,39,11.105197
34.704946,36,13.698428
24.307147,26,15.324777
51.434002,53,18.993392
52.590418,54,22.879097
57.226153,59,26.605702
36.61257,38,29.515767
26.489735,28,31.835434
33.510887,35,34.665657
54.019524,56,38.41499
36.279684,38,40.762338
37.70608,39,43.065951
29.561204,31,44.665306
21.253396,23,46.003579
26.255073,28,47.632815
47.622187,49,51.34522
31.605441,33,53.897423
39.715005,41,57.253053
37.669108,39,60.345529
26.477525,28,62.588724
18.062843,20,64.244168
53.21148,55,68.789372
59.850199,62,73.869674
22.33778,24,85.050086
20.400323,22,85.101931
56.0831,58,85.166697
31.417787,33,85.201158
33.469835,35,85.236861
72.444041,74,85.313852
45.454829,47,85.363534
61.199214,63,85.427145
28.311282,30,85.45802
33.447919,35,85.49468
17.30642,19,85.513397
57.181158,59,85.579214
22.366778,24,85.604706
35.474806,37,85.643051
37.675324,39,85.684299
29.491213,31,85.715827
31.502127,33,85.749773
21.241167,23,85.778875
31.464554,33,85.810767
56.677023,58,85.873156
51.351833,53,85.927109
48.38064,50,85.977888
24.36158,26,86.004993
33.203109,35,86.04216
39.385773,41,86.090718
55.058354,57,86.334013
73.591735,75,92.337814
51.291311,53,92.400688
70.607968,72,92.482039
59.449523,61,92.55497
59.287196,61,92.625915
22.439491,24,92.648383
64.996569,67,92.72245
111.572419,113,92.843943
82.254112,85,92.942476
54.161801,56,93.004534
88.889933,91,93.104982
60.617922,62,93.171451
48.703525,50,93.228368
20.409812,22,93.251925
70.373424,72,93.345389
86.108115,88,93.446422
59.231766,61,93.514081
75.409067,77,93.620209
30.611502,32,93.652984
38.483793,40,93.694174
27.37822,29,93.73053
30.469481,32,93.764559
43.598599,45,93.816832
40.218168,42,93.861879
83.487813,86,93.965147
54.583692,56,94.028792
64.705898,67,94.097328
84.409134,86,94.198197
73.149742,76,94.289041
30.502136,32,94.325774
42.33461,44,94.382887
53.069263,55,94.457893
58.526139,60,94.654265
25.455705,27,94.682557
24.526055,26,94.708702
33.442139,35,94.756226
67.197623,69,100.977612
50.639919,52,101.044857
65.571037,67,101.123211
51.329303,53,101.227876
74.434549,76,101.316425
107.26156,109,101.432771
63.932482,66,101.504478
69.590563,71,101.582983
66.261695,68,101.658473
75.250597,77,101.74554
26.37949,28,101.785744
71.675889,73,101.869421
79.44108,81,101.976945
77.644426,79,102.066993
66.640106,68,102.136355
45.260719,47,102.235369
55.582792,57,102.305198
37.367404,39,102.34294
72.241243,74,102.425275
71.510958,73,102.507178
68.373951,70,102.591456
100.051108,102,102.706728
41.625728,43,102.753987
98.508976,101,102.870447
71.812946,74,102.958756
77.342935,79,103.056604
31.638111,33,103.099711
68.506519,70,103.179276
69.68287,71,103.386239
41.508343,43,103.429999
83.113288,85,109.467953
84.938748,87,109.588659
73.625624,75,109.694214
69.973064,72,109.773937
71.264719,73,109.870262
81.456258,83,109.978554
65.340016,67,110.055753
72.480619,74,110.155078
79.208087,81,110.260461
72.252336,74,110.343271
66.605211,68,110.418585
75.674889,77,110.501136
101.379318,104,110.61846
98.303527,100,110.741478
72.601345,74,110.824438
52.629164,54,110.882167
73.647668,75,110.968959
101.21098,103,111.082828
87.666165,89,111.183184
71.22855,73,111.266845
76.456228,78,111.416869
69.379838,71,111.524914
148.567196,151,111.707886
