#{"t_start": 1779258896.5537193, "env_id": "None"}
r,l,t
63.13984,65,6.990487
30.625164,32,9.303922
49.433393,51,13.065045
25.381839,27,14.827535
36.281834,38,17.243048
64.395561,66,22.103332
18.207696,20,23.499719
46.72536,48,26.44455
15.170647,17,27.651769
42.965479,45,31.318333
66.864821,69,36.758397
26.373689,28,38.415576
43.687146,45,41.209146
38.577841,40,43.476206
28.427355,30,45.095677
23.207043,25,46.456591
66.64137,68,51.34569
41.230161,43,54.614946
47.145537,49,58.641463
46.342075,48,62.515857
26.538408,28,64.813021
18.315444,20,66.459886
27.423426,29,68.868951
31.610089,33,71.582565
23.360744,25,73.641073
34.524147,36,85.077754
68.646474,70,85.165764
34.301585,36,85.203684
44.552966,46,85.248943
38.342594,40,85.292674
31.24335,33,85.326725
39.609195,41,85.370361
37.485878,39,85.409153
30.512979,32,85.440862
46.351021,48,85.491161
42.118032,44,85.537117
26.359316,28,85.568787
22.488135,24,85.59597
27.41427,29,85.625921
31.573225,33,85.659302
57.073426,59,85.721103
39.589876,41,85.765638
35.518446,37,85.80538
53.460458,55,85.863003
68.646509,70,85.935271
39.462442,41,85.977233
58.658107,60,86.040455
21.330981,23,86.069332
57.100516,59,86.316448
44.150033,46,92.280592
77.485052,80,92.373819
89.231387,91,92.480657
23.395026,25,92.513655
45.44144,47,92.564986
54.529711,56,92.630924
48.235606,50,92.677226
64.063179,66,92.752956
74.751704,76,92.836586
30.433045,32,92.8702
76.44325,78,92.959797
75.578751,78,93.048199
83.534282,85,93.142243
31.474642,33,93.177958
50.288457,52,93.235893
47.60694,49,93.293651
80.173665,83,93.396259
34.650555,36,93.439148
77.181006,79,93.527221
18.282218,20,93.56596
36.930685,39,93.61279
74.618616,76,93.691453
62.799428,65,93.765994
30.399688,32,93.799551
27.48489,29,93.834757
47.685948,49,93.88764
44.420374,46,93.946469
74.435462,77,94.036739
40.186838,42,94.078409
45.632651,47,94.130296
32.375585,34,94.167784
28.620886,30,94.204476
45.508124,47,94.264831
50.532205,52,94.32169
32.48758,34,94.368427
30.452233,32,94.400745
62.539557,64,94.495845
86.786418,89,94.714692
30.571369,32,94.756402
85.626791,87,101.002639
64.641584,66,101.084791
74.968733,77,101.215759
44.547629,46,101.272377
68.848773,71,101.353381
66.34567,68,101.421894
49.440283,51,101.478597
66.504814,68,101.550851
69.383406,71,101.626292
91.537251,93,101.733202
71.631401,74,101.825529
65.566121,67,101.902083
52.605824,54,101.980755
62.337758,64,102.050216
82.519431,84,102.141228
41.347988,43,102.235862
78.961355,81,102.328583
130.110741,132,102.47535
71.608043,73,102.550611
68.602155,70,102.640502
62.462912,64,102.712497
40.523278,42,102.759413
81.234988,83,102.849581
70.546653,72,102.932246
92.447452,94,103.055846
81.643054,83,103.151281
58.461136,60,103.345349
70.74431,73,103.428275
39.611423,41,103.468997
59.4792,61,109.48431
90.287932,92,109.622834
103.304177,105,109.752457
66.604217,68,109.832189
75.061592,77,109.943604
81.706599,84,110.040138
128.8262,132,110.220958
63.654702,66,110.288067
72.644875,74,110.371186
95.438926,97,110.478934
80.617846,82,110.569258
97.557747,99,110.685233
74.615847,76,110.774715
71.467512,73,110.859174
74.442228,76,110.947274
69.675552,71,111.024907
77.205828,79,111.107635
77.243667,79,111.200272
95.322364,97,111.315146
67.573437,69,111.465963
107.229521,109,111.610409
32.465229,34,111.649629
89.720091,92,111.901876
77.006927,79,111.991153
76.681062,78,112.071882
72.268594,74,118.021134
82.36521,84,118.117881
69.196885,71,118.198238
68.629856,70,118.28493
75.263116,77,118.376919
82.043486,84,118.466189
78.033063,80,118.55103
69.489988,71,118.669112
69.760661,72,118.748253
88.604482,90,118.857126
87.947282,90,118.9596
74.555871,76,119.035371
85.173688,87,119.131952
69.265048,71,119.270499
85.14071,87,119.381462
83.529796,85,119.483336
91.0196,93,119.585226
69.071243,71,119.70343
111.465215,113,119.824003
81.302267,83,119.933005
69.382189,71,120.032892
87.260793,89,120.178584
108.456368,110,120.451944
68.553599,70,120.533626
69.631977,71,120.617522
123.782087,126,126.451841
70.298743,72,126.528792
69.628991,71,126.610592
69.400707,71,126.692713
79.536892,81,126.775212
72.202857,74,126.857125
73.40347,75,126.952479
78.496899,80,127.037614
93.478083,96,127.170325
116.474323,118,127.297895
117.906148,120,127.424471
89.179361,91,127.543002
71.56024,73,127.622674
96.832862,99,127.731209
78.85039,81,127.822179
114.458352,116,127.958797
78.635616,80,128.04546
75.645522,78,128.175569
70.429073,72,128.25681
101.959086,104,128.523122
135.379358,137,128.721075
73.437951,75,128.800917
72.236061,74,134.704304
128.987132,131,134.849933
83.345862,85,134.94117
75.283703,77,135.030927
100.281749,102,135.141409
94.44504,97,135.251232
82.455034,85,135.347303
90.649049,93,135.450447
71.815562,74,135.565633
71.181701,73,135.649712
73.161369,75,135.768747
95.412017,98,135.876402
117.335268,119,136.01626
72.463281,74,136.097744
83.622672,86,136.190057
110.019549,112,136.353088
108.395535,111,136.47775
67.433289,69,136.553515
71.092769,73,136.630693
91.792724,94,136.896432
158.173861,160,137.082277
67.569911,69,137.159022
130.761102,133,142.974938
71.198504,73,143.059329
75.131587,77,143.170398
86.588412,89,143.268842
76.766927,79,143.362628
78.529132,81,143.445511
75.510849,77,143.531505
122.517927,125,143.672179
157.344324,160,143.873037
93.325634,96,143.987908
89.230013,91,144.093711
80.694004,83,144.182951
69.089023,71,144.25756
83.711318,86,144.359164
72.659554,75,144.444213
68.034595,70,144.523822
119.873783,122,144.653938
130.736749,133,144.805328
90.6127,93,145.055846
91.492556,94,145.166619
70.720183,73,145.263104
99.763954,102,145.383601
87.110964,90,151.149057
109.352227,112,151.279239
80.629367,83,151.407341
80.791662,83,151.496309
71.697058,74,151.575387
79.576397,82,151.663522
133.21345,136,151.815059
104.478307,107,151.978812
82.642233,85,152.072099
72.889515,75,152.198844
73.672859,76,152.286221
104.884816,107,152.40293
86.446394,89,152.498984
111.356097,114,152.617307
