#{"t_start": 1779264977.244473, "env_id": "None"}
r,l,t
32.587308,34,3.617968
25.425617,27,4.949171
36.483972,38,6.802196
36.303034,38,8.698372
19.432732,21,9.746865
44.468855,46,12.058222
22.197202,24,13.258615
45.177554,47,15.585072
20.432225,22,16.707089
30.481343,32,18.331555
32.286571,34,20.030798
22.476085,24,21.261539
28.625185,30,22.793446
38.663013,40,24.791675
34.59243,36,26.61212
36.328446,38,28.534229
59.194722,61,31.588218
104.383928,106,36.958503
35.336951,37,38.874223
44.20386,46,41.188457
24.343951,26,42.487739
29.540064,31,44.07686
57.640037,60,47.057588
41.293859,43,49.221583
51.14191,53,51.883991
24.48667,26,61.274879
39.575759,41,61.329973
28.417513,30,61.364473
32.610363,34,61.401676
48.15462,50,61.466363
38.324321,40,61.514928
35.558831,37,61.558897
45.237374,47,61.619341
71.365229,73,61.70329
29.446625,31,61.74423
34.513443,36,61.784003
36.614723,38,61.831857
39.60372,41,61.877765
47.600193,49,61.946058
23.520639,25,61.975435
41.217384,43,62.025882
36.153155,38,62.068121
55.13802,57,62.138604
44.668903,46,62.191144
30.259762,32,62.230909
35.506066,37,62.276736
28.549241,30,62.310117
26.576657,28,62.349978
54.603096,56,62.414106
28.392963,30,62.456447
27.396768,29,62.772551
58.393726,60,69.098932
31.514142,33,69.140258
57.416633,59,69.206895
39.427933,41,69.257449
75.240493,77,69.357543
93.376994,95,69.469466
64.461576,66,69.548284
43.732234,45,69.598989
34.415747,36,69.643947
38.608742,40,69.68979
73.634077,75,69.781337
25.461048,27,69.811763
83.469936,85,69.912455
75.027665,77,70.003125
30.532773,32,70.041719
47.559556,49,70.105759
67.501677,69,70.19365
84.565986,86,70.310414
78.749563,80,70.405129
32.451664,34,70.449144
64.527731,66,70.523984
49.222301,51,70.586725
48.574422,50,70.648978
34.332066,36,70.689384
37.287263,39,70.731778
61.859941,64,70.813432
40.524412,42,70.869756
23.40682,25,70.898041
28.284681,30,70.93673
41.094065,43,70.99129
27.473665,29,71.025403
26.308981,28,71.065477
39.590139,41,71.112585
75.520037,77,71.210509
53.36872,55,71.28738
69.574121,71,71.383249
40.420261,42,71.432539
27.449953,29,71.610256
54.127267,56,71.687
46.684354,48,78.006695
75.617636,77,78.099373
65.440254,67,78.18819
64.532049,66,78.269626
77.084459,79,78.364761
86.640545,88,78.466676
53.683666,55,78.530159
114.540742,117,78.674471
72.257975,74,78.765267
73.655461,75,78.861315
73.754104,75,78.945811
32.340366,34,78.991414
64.410039,66,79.068292
47.233707,49,79.125933
69.722951,71,79.206368
54.515871,56,79.277565
82.043,84,79.381099
59.647556,61,79.447355
76.543986,78,79.536931
74.740001,77,79.663913
89.460157,91,79.781589
54.385759,56,79.847099
62.695839,64,79.927002
67.775256,69,80.010145
55.271883,57,80.079264
24.296423,26,80.115015
78.62352,80,80.210465
31.530842,33,80.251353
96.259799,98,80.553314
68.394337,70,80.645014
121.449519,124,87.015504
102.719318,104,87.140042
43.175333,45,87.197205
78.416489,80,87.301789
70.591945,72,87.3874
81.376336,83,87.48379
79.693352,81,87.574974
46.5191,48,87.628886
88.653273,90,87.734519
85.521597,87,87.864053
76.136886,78,87.954014
79.609344,81,88.052318
101.449278,103,88.1716
72.600092,74,88.261951
71.559689,73,88.371502
125.424136,127,88.540066
74.377502,76,88.630693
75.060808,77,88.722362
100.714783,103,88.862715
78.50151,80,88.964648
85.566741,87,89.07085
97.198803,99,89.1921
78.61592,80,89.449915
120.445535,122,89.601714
94.46491,96,95.980987
97.242397,99,96.103195
73.540439,75,96.187294
141.763326,144,96.369278
70.083385,72,96.466415
102.608326,104,96.611744
69.44296,71,96.701108
102.50944,104,96.88017
82.514073,84,96.9896
69.75591,71,97.078582
68.747032,70,97.168153
68.523449,70,97.257201
60.238149,62,97.342958
80.506172,82,97.443911
102.403193,104,97.577286
77.347001,79,97.677352
91.609926,93,97.809585
106.325951,108,97.945291
69.716923,71,98.031948
95.271741,97,98.152239
81.585114,83,98.412088
87.932655,90,98.530793
118.434546,120,98.682328
80.417274,82,105.102184
76.27457,78,105.199901
79.653113,81,105.300411
65.692778,67,105.386837
76.436,78,105.474911
77.606011,79,105.570889
120.561231,122,105.724321
135.223393,137,105.892298
96.617383,98,106.008963
110.238129,112,106.143757
66.965335,69,106.226306
102.335407,104,106.371987
69.630634,71,106.45284
72.651957,74,106.545073
90.918424,93,106.680231
62.66451,64,106.757721
72.606143,74,106.843898
89.415908,91,106.95379
93.533618,95,107.073073
69.650598,71,107.157548
68.558164,70,107.491197
121.638021,123,107.642854
73.308249,75,107.741207
73.316556,75,114.090433
201.82424,204,114.332066
155.974433,158,114.521832
73.401318,75,114.613646
68.663873,70,114.704054
72.003661,74,114.802297
65.054796,67,114.886517
101.204278,103,115.011373
135.726315,138,115.175102
80.130262,82,115.283509
83.451265,85,115.392713
80.651877,82,115.493554
79.360976,81,115.599997
85.922098,88,115.711807
74.55145,76,115.800546
71.429727,73,115.888444
95.319287,97,116.011817
133.853063,136,116.260769
82.042308,84,116.538825
79.712615,81,116.64083
100.612422,102,116.770642
99.48942,101,123.197511
88.201018,90,123.322447
79.313506,81,123.431823
72.831242,75,123.526556
71.661195,74,123.627443
73.191837,75,123.714752
75.4839,78,123.818976
108.076259,110,124.016591
118.307676,121,124.175257
67.281345,69,124.268399
84.647868,87,124.379899
81.640645,84,124.486016
99.43105,102,124.612486
69.953526,73,124.70179
101.082432,103,124.827806
78.557521,81,124.941073
95.9859,98,125.065511
181.929806,184,125.298954
75.101105,77,125.563415
106.216205,108,125.695635
132.465709,134,125.854741
72.859459,75,125.949836
83.42574,86,132.254996
114.494918,117,132.396839
85.434471,88,132.5
89.220753,92,132.610326
107.458887,110,132.739936
87.884635,90,132.877076
63.197977,65,132.947976
78.722595,81,133.053305
100.109135,102,133.183711
84.414567,86,133.291573
129.686824,132,133.441103
103.351137,106,133.573668
91.474252,94,133.692151
93.350117,96,133.830262
70.19979,72,133.926555
84.436684,87,134.030174
68.383898,70,134.121087
75.334907,78,134.223732
82.05668,84,134.470194
78.269283,81,134.611588
71.743736,74,134.707201
117.425473,120,134.857854
223.838001,227,141.448218
81.284756,84,141.548613
147.097778,150,141.755835
107.672207,110,141.883809
123.751646,126,142.032062
113.723088,116,142.164616
85.312229,88,142.274012
105.601181,108,142.402647
97.824878,100,142.529417
109.067908,111,142.661853
