#{"t_start": 1779264977.1277616, "env_id": "None"}
r,l,t
24.444083,26,3.33746
30.578167,32,4.915781
41.652485,43,7.015604
70.601096,72,10.589501
42.376129,44,12.8258
76.140467,78,16.719693
59.492438,61,19.800542
30.482729,32,21.427988
36.485357,38,23.393144
47.318477,49,25.831045
59.540535,61,28.911571
35.597294,37,30.775771
24.321794,26,32.053411
51.531691,53,34.768895
43.662874,45,37.021265
50.30542,52,39.673457
42.19189,44,41.892048
19.327775,21,42.977841
58.466749,60,45.998781
47.461127,49,48.3947
20.280092,22,49.543597
21.10714,23,50.685121
63.687962,65,61.40884
58.650651,60,61.483542
43.150269,45,61.538275
32.476871,34,61.579977
21.412357,23,61.604654
32.466359,34,61.649712
24.5586,26,61.679522
28.463432,30,61.715823
30.482128,32,61.756634
53.534861,55,61.820094
31.592995,33,61.86353
35.612937,37,61.90393
47.574878,49,61.963823
22.475356,24,61.991068
35.585482,37,62.042711
30.200891,32,62.081334
35.357672,37,62.123208
47.353627,49,62.181643
35.590262,37,62.224401
37.597997,39,62.273142
62.411958,64,62.350358
36.18104,38,62.397207
45.674157,47,62.45653
44.30872,46,62.511746
36.55223,38,62.561707
77.249043,79,69.194657
42.217486,44,69.246616
24.493152,26,69.2782
83.20518,85,69.376393
58.596559,60,69.456325
45.638014,47,69.511618
59.305823,61,69.58395
40.403069,42,69.631888
76.483661,78,69.723745
39.455219,41,69.775168
47.373465,49,69.830492
34.653337,36,69.877848
60.350291,62,69.951402
41.492106,43,70.003109
54.387483,56,70.069822
43.551161,45,70.11865
63.551618,65,70.198703
52.008716,54,70.274763
49.574969,51,70.332137
67.654062,69,70.42941
85.936735,88,70.533904
34.531071,36,70.581279
19.311441,21,70.604494
61.469766,63,70.679357
26.49474,28,70.711999
30.418028,32,70.747835
110.50542,112,70.88516
51.190217,53,70.947711
38.341841,40,71.001394
36.722307,38,71.046495
63.737763,65,71.129158
39.397288,41,71.184611
53.577259,55,71.248263
57.261979,59,71.325133
56.608668,58,71.405483
34.243082,36,71.450323
69.359992,71,71.543321
40.540938,42,71.741801
38.051325,40,71.79213
50.383469,52,78.119254
94.66807,96,78.233078
74.635768,76,78.33134
106.656602,109,78.466571
67.611792,69,78.54434
70.707537,72,78.631348
71.295191,73,78.719988
63.076954,65,78.798906
87.617894,89,78.907
87.676724,89,79.018334
93.495403,95,79.133804
