#{"t_start": 1779264977.1728916, "env_id": "None"}
r,l,t
24.300414,26,3.292733
57.466305,59,6.193397
35.341675,37,7.992007
47.301126,49,10.445782
30.494855,32,12.081564
24.499934,26,13.379608
63.611441,65,16.624434
33.582715,35,18.403754
19.248452,21,19.46556
40.588064,42,21.577638
28.414087,30,23.133101
23.444724,25,24.367849
40.548933,42,26.477271
62.150206,64,29.725333
29.063679,31,31.26578
22.271063,24,32.47905
35.27963,37,34.358714
49.232108,51,36.926257
30.406643,32,38.589706
25.490361,27,39.918272
32.581639,34,41.650939
23.484643,25,42.93353
32.452137,34,44.634831
31.622867,33,46.304976
25.449776,27,47.616834
25.423139,27,48.980615
47.93686,50,51.488974
50.448269,52,61.368195
81.632859,83,61.468731
28.496214,30,61.508494
50.32193,52,61.568339
27.520751,29,61.607026
23.554386,25,61.636075
46.747661,48,61.697329
42.079937,44,61.747106
32.421987,34,61.791316
37.618312,39,61.837042
42.021695,44,61.885698
32.358717,34,61.927785
31.525328,33,61.967933
35.569806,37,62.019881
31.702568,33,62.058243
18.353503,20,62.079354
20.459701,22,62.108411
21.455242,23,62.133615
20.318686,22,62.159411
52.504645,54,62.224931
30.468596,32,62.261917
52.30319,54,62.325937
63.604033,65,62.410343
54.42389,56,62.476576
59.004816,61,62.835836
26.389905,28,62.866637
19.414661,21,69.152808
34.448799,36,69.193063
58.820169,61,69.264652
23.451437,25,69.296542
40.393595,42,69.347577
41.619145,43,69.403864
69.139337,71,69.488819
78.175217,80,69.58112
27.517554,29,69.617771
44.496441,46,69.669667
77.712751,79,69.763899
67.423401,69,69.848645
60.401923,62,69.924924
35.365817,37,69.966697
61.555565,63,70.041175
63.650894,65,70.115897
33.208769,35,70.160894
60.99011,63,70.246496
55.378222,57,70.31546
55.652749,57,70.393265
58.492682,60,70.464443
67.7428,70,70.551272
25.505574,27,70.581952
74.252476,76,70.672515
79.431859,81,70.768945
50.428262,52,70.833372
52.650539,54,70.897044
44.253457,46,70.957414
37.444331,39,71.003795
29.482575,31,71.04681
112.410674,114,71.186776
64.653084,66,71.271954
36.493487,38,71.317044
36.550426,38,71.374578
39.497125,41,71.43234
32.569316,34,71.472861
93.384268,95,71.736371
27.536899,29,71.773793
79.383495,81,78.134214
75.452486,77,78.228956
105.433565,107,78.365016
76.495478,78,78.458434
65.622751,67,78.536301
61.512095,63,78.607661
74.744651,76,78.699512
72.375071,74,78.788832
69.678339,71,78.88237
70.613881,72,78.969784
62.774962,64,79.048322
91.485461,93,79.158957
53.57609,55,79.220039
89.932728,92,79.327291
58.376482,60,79.4046
66.794884,68,79.486468
42.379041,44,79.537268
44.456735,46,79.588302
66.088568,68,79.701354
72.69329,74,79.797224
71.097344,73,79.883733
37.318227,39,79.931808
76.346058,79,80.026356
62.693202,64,80.106208
47.340629,49,80.171177
89.532489,91,80.279226
39.625433,41,80.331478
61.915486,64,80.587597
51.220327,53,80.661082
73.553506,75,80.752977
72.647947,74,87.064472
79.617583,81,87.164985
82.384509,84,87.264381
76.617202,78,87.367366
64.579777,66,87.441655
80.486378,83,87.537169
71.551369,73,87.621261
66.44335,68,87.70027
44.487153,46,87.756344
89.205381,91,87.892787
72.676831,74,87.979493
72.721984,74,88.064584
97.597586,99,88.182699
69.56515,71,88.265816
88.57904,90,88.385694
104.485888,106,88.528049
88.51428,90,88.641799
86.067876,88,88.747369
67.794558,69,88.832678
67.621908,69,88.932143
109.380122,111,89.077173
77.540254,79,89.165789
72.495444,74,89.257988
80.576395,82,89.519407
104.456596,106,89.651232
44.703341,46,95.976032
78.896002,81,96.073048
84.613745,86,96.17511
153.325151,155,96.364025
70.651493,72,96.450741
71.571786,73,96.554444
84.572166,86,96.669296
45.704447,47,96.730986
81.587718,83,96.892707
67.704116,69,96.972027
82.606561,84,97.085098
117.492501,119,97.230891
102.802125,105,97.37043
76.609158,78,97.465874
109.163011,111,97.613697
139.325433,142,97.784412
67.710876,69,97.891788
72.461393,74,97.981123
75.3618,77,98.075446
77.524734,79,98.172198
76.644328,78,98.270392
67.688569,69,98.520157
71.528252,73,98.617766
127.734364,130,105.099266
164.615858,167,105.302273
81.270349,83,105.409316
102.145763,104,105.531469
70.553952,72,105.618532
89.562398,91,105.733841
72.596602,74,105.833222
72.328702,74,105.91828
85.3705,87,106.020165
105.266892,107,106.153102
122.270509,124,106.297003
73.805793,76,106.400394
72.298928,74,106.495888
76.431105,78,106.591374
102.341826,104,106.738717
114.139186,116,106.88041
101.553421,103,107.001822
80.624506,82,107.101566
120.426983,122,107.255607
69.660444,71,107.585144
70.549133,72,107.676778
115.338383,117,107.822865
108.467843,111,114.21307
74.460251,76,114.302988
74.639635,77,114.396383
168.535168,171,114.601747
86.242228,88,114.710257
97.70959,100,114.840839
66.4459,68,114.926473
70.454511,72,115.015684
145.253817,147,115.191895
75.310263,77,115.290837
96.001833,98,115.413104
98.404591,100,115.537127
112.354034,115,115.693343
66.420324,68,115.777411
114.943216,117,115.913009
103.496836,105,116.042959
70.362081,73,116.136606
121.262918,123,116.542766
64.324035,66,116.62516
85.652508,87,116.735092
70.673509,72,116.828053
109.360995,111,123.268216
95.455417,97,123.403608
148.643103,151,123.599721
70.581458,73,123.698687
72.601772,75,123.786595
133.787622,136,124.02669
111.09818,114,124.168474
71.2795,73,124.263593
93.222519,95,124.389569
71.491101,74,124.485173
79.847748,82,124.586553
87.554306,89,124.698301
71.610799,73,124.787761
101.822653,104,124.919141
76.783176,79,125.030864
88.263424,91,125.141642
201.17559,204,125.398157
79.574515,82,125.670194
70.261151,73,125.760092
78.682088,80,125.85901
108.949238,111,125.992448
92.041317,95,132.305789
90.140864,92,132.419658
121.589426,124,132.566895
73.04642,75,132.656726
101.519507,104,132.781993
114.50072,117,132.948807
88.916733,91,133.054508
94.500298,97,133.180071
74.430498,76,133.273193
77.606714,80,133.373989
85.690409,88,133.47597
77.539511,80,133.570341
117.413702,120,133.716052
73.048301,75,133.825789
106.967824,109,133.978109
78.90549,81,134.075713
81.987638,84,134.180767
73.169581,75,134.280417
111.401774,114,134.56808
129.362742,132,134.7716
88.869471,91,134.890132
85.609511,88,134.999227
114.692902,117,141.452058
109.262424,112,141.586807
101.803389,104,141.73715
83.735634,86,141.838471
119.302673,122,141.984894
101.924789,105,142.106019
91.653186,94,142.21552
72.964466,75,142.304288
105.479101,108,142.432824
74.462237,77,142.53017
91.53029,94,142.644194
103.850683,106,142.77213
105.418759,108,142.908021
92.407425,95,143.025109
76.530737,79,143.122344
132.527648,135,143.450207
81.685139,84,143.553236
85.213402,87,143.664282
127.136475,130,143.848127
80.464223,83,143.972922
114.868057,117,150.602224
85.483784,88,150.730197
88.354966,91,150.83898
86.136928,89,150.943655
94.870811,97,151.056088
97.693129,100,151.180228
89.839553,92,151.289973
99.151316,102,151.424052
92.250586,95,151.534461
80.817975,83,151.628888
86.698889,89,151.734873
124.668157,127,151.887868
98.892595,101,152.006037
114.021213,117,152.139777
74.634036,77,152.235199
100.499048,103,152.36608
125.29547,128,152.740604
148.635239,151,152.923551
118.507073,121,153.070752
80.838506,83,153.171681
94.621589,97,159.552305
76.613566,79,159.643441
81.886504,84,159.742924
88.436334,91,159.847625
125.457056,128,160.00769
136.692677,139,160.169801
83.61366,86,160.270807
118.146033,121,160.418818
74.620555,77,160.513947
103.025098,105,160.636672
125.25415,128,160.786636
78.860771,81,160.887692
140.779059,143,161.066952
75.860601,78,161.160629
76.327241,79,161.252529
116.022586,119,161.576754
77.66579,80,161.674144
78.8958,81,161.772744
82.814084,85,161.878474
137.291241,140,162.05281
113.489014,116,168.518047
83.581222,86,168.618711
125.56945,128,168.766477
75.393491,78,168.859625
81.958859,84,168.965239
133.544464,136,169.125857
92.570088,95,169.238861
99.533365,102,169.369019
76.720757,79,169.465402
88.862332,91,169.588108
112.521997,115,169.729074
116.511869,119,169.869398
85.59786,88,169.977377
107.684159,110,170.108627
