#{"t_start": 1779264977.187995, "env_id": "None"}
r,l,t
28.428738,30,3.478939
34.477138,36,5.245406
23.167774,25,6.469419
50.213435,52,9.061194
42.696986,44,11.26162
25.298474,27,12.613802
71.010365,73,16.248466
35.600812,37,18.121459
36.31015,38,20.035655
17.183851,19,21.020055
22.409606,24,22.214271
63.001823,65,25.525786
47.309403,49,27.976813
38.18868,40,30.000547
56.257518,58,32.90357
49.593269,51,35.535322
21.408595,23,36.656997
27.46002,29,38.155295
40.359901,42,40.260917
45.285223,47,42.653882
38.321679,40,44.669197
18.246068,20,45.69025
54.823305,57,48.489099
21.490537,23,49.678116
23.110689,25,50.917034
47.401131,49,61.334821
33.580258,35,61.382337
55.426849,57,61.447795
36.559012,38,61.496613
48.495885,50,61.554207
30.483671,32,61.596351
32.35284,34,61.63676
34.532634,36,61.683225
27.602481,29,61.715354
27.510449,29,61.747362
40.678844,42,61.802922
44.383987,46,61.853082
64.32299,66,61.93327
15.170666,17,61.954804
27.440063,29,61.99812
34.624311,36,62.039791
28.444278,30,62.07281
37.70299,39,62.119252
47.634192,49,62.176361
32.614561,34,62.218491
98.133397,100,62.340005
26.399791,28,62.370981
35.385553,37,62.422371
52.400096,54,62.49007
38.646083,40,62.819448
34.74078,36,62.859075
36.012695,38,69.161628
49.359972,51,69.225763
85.372144,87,69.329808
31.517105,33,69.371506
51.270189,53,69.4373
78.178329,80,69.531576
75.598785,78,69.623772
25.47936,27,69.654277
36.653614,38,69.702132
87.295742,90,69.810946
23.413598,25,69.83909
50.938427,53,69.904218
30.527676,32,69.941509
54.64265,56,70.008297
49.149803,51,70.063846
37.567361,39,70.11141
59.663856,61,70.196165
76.141664,78,70.288708
63.882783,66,70.380515
32.454085,34,70.422481
54.510182,56,70.487674
34.391576,36,70.533821
21.091485,23,70.560093
48.594781,50,70.620145
33.417062,35,70.660504
35.638478,37,70.707587
116.714142,120,70.849496
39.716689,41,70.899388
42.593413,44,70.955786
104.36759,107,71.089349
41.566685,43,71.146693
51.028154,53,71.210951
64.734672,66,71.292569
45.539427,47,71.361762
21.47657,23,71.389784
48.443788,50,71.457641
36.671751,38,71.505984
29.118966,31,71.68854
27.507088,29,71.725425
51.313461,53,78.054275
28.547966,30,78.088314
93.98803,96,78.207116
80.524634,82,78.312703
47.621105,49,78.370765
25.536684,27,78.40315
63.025886,65,78.47887
61.280943,63,78.556009
69.611984,71,78.642592
67.546953,69,78.725356
89.928396,92,78.837299
39.268623,41,78.889455
52.462622,54,78.954566
44.419714,46,79.007913
55.623644,57,79.078723
65.52038,67,79.157921
82.324358,84,79.25412
64.651896,66,79.336341
69.712327,71,79.424907
106.200543,108,79.547888
70.816117,73,79.665322
58.314564,60,79.742561
105.647812,107,79.870563
72.560859,74,79.965954
76.376812,78,80.058318
29.494457,31,80.094031
36.482495,38,80.145713
104.026789,106,80.273417
69.401382,71,80.370648
93.125164,95,80.66554
86.337152,88,86.957725
62.739396,64,87.069674
115.490509,117,87.208559
62.731863,64,87.288319
140.308573,142,87.466514
83.620135,85,87.564635
74.56321,76,87.650553
64.581851,66,87.725534
86.728567,88,87.834146
75.440188,77,87.951997
69.628531,71,88.028627
92.207835,94,88.144087
96.670768,99,88.261036
78.557914,80,88.369306
63.666794,65,88.466202
69.227734,71,88.555336
143.896634,147,88.7299
76.653223,78,88.825431
66.525122,68,88.923657
76.469126,78,89.023359
136.260655,138,89.192417
69.53892,71,89.282921
66.500811,68,89.521313
100.355177,102,89.647998
84.594006,86,96.017692
96.474998,98,96.13407
101.540961,103,96.25924
132.344361,134,96.425941
64.690047,66,96.513932
73.629569,75,96.622039
73.315551,75,96.718641
72.604196,74,96.867796
105.248004,107,96.999892
71.543719,73,97.096185
90.139458,92,97.207771
87.638915,89,97.319767
98.684816,100,97.449297
86.750325,89,97.562644
78.733195,80,97.662362
71.652013,73,97.756011
67.562876,69,97.860672
80.527855,82,97.961344
68.104961,70,98.047387
129.263313,131,98.212336
99.433889,101,98.49594
77.146883,79,98.604454
78.288412,80,98.703389
91.418467,93,105.137579
67.424323,69,105.223246
89.074233,91,105.336802
165.340374,167,105.535655
82.382145,84,105.63836
67.561439,69,105.727783
78.463074,80,105.832763
67.372131,69,105.915163
108.216148,110,106.042174
67.685844,69,106.12923
72.255997,74,106.21644
77.563211,79,106.309206
69.510053,71,106.40783
72.496745,74,106.497923
132.921709,135,106.68182
87.572462,89,106.793381
80.394903,82,106.891661
92.70641,95,107.005943
96.275453,98,107.124864
74.447021,76,107.221123
81.616545,83,107.568518
85.6186,87,107.677433
68.673536,70,107.767287
79.625982,81,107.869141
78.378866,81,114.219599
75.491435,77,114.307808
75.7157,77,114.402998
79.246275,81,114.500524
108.558106,111,114.637348
74.318879,77,114.72913
79.346931,81,114.8426
90.425382,92,114.955663
82.341768,84,115.058929
65.781489,67,115.136341
131.081785,133,115.30009
71.446918,73,115.394497
66.57056,68,115.484855
85.520665,88,115.592146
75.050955,77,115.69478
96.075291,98,115.813412
77.174249,79,115.906353
172.813976,176,116.126964
87.533159,89,116.319515
106.10901,108,116.626511
84.578576,87,116.734486
78.349245,80,116.838455
83.692803,85,123.247503
81.58337,83,123.359026
75.135742,77,123.461695
71.284553,73,123.555443
69.32543,71,123.654183
111.264956,113,123.796502
90.388606,92,123.969035
151.3755,154,124.168363
94.224931,96,124.300234
70.976454,73,124.390406
