#{"t_start": 1779264977.1407137, "env_id": "None"}
r,l,t
63.168363,65,5.245154
30.630598,32,6.808577
49.464119,51,9.353631
25.402515,27,10.674965
36.303823,38,12.611154
64.414499,66,15.885191
18.235615,20,16.912311
46.745469,48,19.352505
15.202391,17,20.186149
42.976916,45,22.470273
67.012092,69,25.96546
26.400028,28,27.391121
43.701273,45,29.658597
38.583345,40,31.643997
28.437434,30,33.144183
23.23259,25,34.443331
66.655069,68,37.892929
41.271029,43,40.049035
47.159146,49,42.539756
46.353558,48,44.974137
26.547425,28,46.386288
18.335838,20,47.358425
27.440585,29,48.802155
31.623673,33,50.479468
23.383139,25,51.729266
34.542302,36,61.384669
68.672175,70,61.472878
34.310591,36,61.513776
44.561896,46,61.572445
38.346789,40,61.621869
31.261388,33,61.660758
39.627762,41,61.711265
37.491878,39,61.758215
30.52281,32,61.793739
46.360949,48,61.856318
42.156414,44,61.903978
26.37627,28,61.941535
22.505259,24,61.967357
27.429977,29,62.003461
31.587494,33,62.051081
57.084315,59,62.11828
39.595913,41,62.166956
35.526392,37,62.209528
53.472722,55,62.277507
68.712637,70,62.359763
39.469061,41,62.409563
58.678601,60,62.488292
21.350546,23,62.512897
57.122483,59,62.870604
44.163879,46,69.183154
77.567394,80,69.277366
90.282542,92,69.388336
24.402659,26,69.421503
32.475904,34,69.465226
60.671095,62,69.540148
54.288587,56,69.603181
87.580351,90,69.708631
48.619836,50,69.769958
37.407213,39,69.814433
101.676002,104,69.942509
73.361961,75,70.030122
35.534565,37,70.074755
47.383375,49,70.127121
62.05323,64,70.212746
61.545601,63,70.292992
46.421623,48,70.355738
26.488534,28,70.39611
78.464812,81,70.493637
37.138479,39,70.540597
33.08158,35,70.584701
57.15042,59,70.655049
55.69425,57,70.720732
61.5936,63,70.796733
28.580473,30,70.829488
33.621381,35,70.875957
80.607222,83,70.980503
29.668098,31,71.016612
70.435743,72,71.108762
32.608246,34,71.14933
36.385444,38,71.200096
43.55847,45,71.253397
34.628098,36,71.301753
47.232884,49,71.364719
31.483921,33,71.412453
23.335133,25,71.443387
68.620788,70,71.534014
73.199512,75,71.774632
75.215742,77,78.130379
81.473216,83,78.23017
57.769042,59,78.308913
78.12266,80,78.407478
64.712679,67,78.487904
70.620662,72,78.572002
68.288942,70,78.651082
75.103571,77,78.747473
65.962225,68,78.826849
82.5012,84,78.936852
76.246824,79,79.030874
87.573465,89,79.137331
61.562654,63,79.213972
64.715151,66,79.290107
88.983238,91,79.400406
78.306608,80,79.498953
69.64835,71,79.5804
52.48472,54,79.638667
80.956814,83,79.778672
73.197062,75,79.867345
68.971191,71,79.955167
43.334405,45,80.01371
58.197044,60,80.085307
52.228139,54,80.147488
68.534402,70,80.23648
93.578368,95,80.353089
78.801966,80,80.633258
88.010873,90,80.748947
57.636735,59,87.039394
83.777009,86,87.143976
118.971817,121,87.293288
86.599179,88,87.406955
108.306446,110,87.534252
64.666916,66,87.612151
75.422157,77,87.699162
79.523093,81,87.794331
112.421377,115,87.956364
71.593689,73,88.041485
69.536986,71,88.124444
95.595688,97,88.240277
82.465394,84,88.340674
90.936185,93,88.473258
85.819386,88,88.587973
69.715889,71,88.676018
50.6741,52,88.741332
65.652657,67,88.82141
106.408306,108,88.967823
77.694879,79,89.068763
95.564365,97,89.185186
62.185422,64,89.265056
91.084786,93,89.540073
158.445801,160,96.00569
85.29757,87,96.110095
77.647004,79,96.203629
77.596887,79,96.292499
68.559414,70,96.383791
81.494476,83,96.485232
65.430967,67,96.581485
69.462464,71,96.677919
72.361336,74,96.773607
81.606674,83,96.933064
76.444906,78,97.030267
73.629091,75,97.128891
68.642783,70,97.209772
88.487868,90,97.327128
85.493297,87,97.443507
80.888514,83,97.545716
90.438192,92,97.665451
69.628511,71,97.755484
81.015344,83,97.858524
78.529035,80,97.974274
97.517733,99,98.093886
65.574847,67,98.176986
96.046129,98,98.297934
82.371316,84,98.565047
65.710963,67,98.657476
82.479916,84,98.760588
104.402169,106,105.208712
68.3872,70,105.297357
68.490437,70,105.385439
130.045815,132,105.539586
69.302084,71,105.625993
74.170968,76,105.72228
71.406766,73,105.815209
85.735296,88,105.926615
83.193427,85,106.024906
69.693898,71,106.110484
83.329585,85,106.214875
108.356996,110,106.344353
128.088119,130,106.520186
99.573566,101,106.641953
89.169902,91,106.774812
66.501242,68,106.857403
97.489631,99,106.978283
77.616746,79,107.072124
119.572745,121,107.216673
75.281267,77,107.556018
73.552039,75,107.650915
69.723662,71,107.739831
102.20757,104,107.871211
163.354664,166,114.327714
79.483089,82,114.426095
73.151198,75,114.5165
131.48838,133,114.678017
83.646026,85,114.784272
74.613315,76,114.887686
98.733333,101,115.011123
88.302766,90,115.121056
78.457316,80,115.215614
85.502473,87,115.325412
67.17947,69,115.415165
69.551078,71,115.506382
71.711106,73,115.59236
107.931808,110,115.738924
110.43971,112,115.872367
71.654086,73,115.959301
77.460796,79,116.061013
109.850557,112,116.200894
95.160038,97,116.57383
68.178155,70,116.661087
71.35834,73,116.754376
89.493786,91,116.87112
144.152611,147,123.361573
69.416491,71,123.459704
156.668411,159,123.663787
70.41571,72,123.75996
73.10468,75,123.856399
85.302473,87,124.024297
76.280396,78,124.124621
76.998473,79,124.226359
79.166953,81,124.33353
131.692455,134,124.507345
148.438094,151,124.697537
100.756639,103,124.822649
96.710918,99,124.944842
81.988247,84,125.065529
70.682893,73,125.154849
82.406131,84,125.255494
75.688685,78,125.351991
67.309762,69,125.441726
113.263966,115,125.755036
138.269391,140,125.924858
88.151987,90,126.036611
88.938178,91,132.345847
71.746858,74,132.437532
100.975116,103,132.561885
87.11666,90,132.66813
113.407184,116,132.807629
83.65878,86,132.935795
75.445276,77,133.024242
70.98406,73,133.113829
75.158452,77,133.215249
142.201801,145,133.396822
105.353795,108,133.519948
80.966704,83,133.617766
70.288637,72,133.710986
71.161594,73,133.802523
111.240919,114,133.966108
84.559663,86,134.073184
120.938818,123,134.22839
89.601463,92,134.496546
89.401278,91,134.608478
110.908355,113,134.781453
76.098665,78,134.88292
71.440128,74,134.980127
80.489903,82,141.392948
83.552653,86,141.501911
112.775103,115,141.637064
95.504433,98,141.781222
78.734721,81,141.875144
90.206655,92,141.984262
81.426284,84,142.080604
109.388001,112,142.214579
73.785723,76,142.304356
88.484395,91,142.415964
80.233412,82,142.511156
182.285447,185,142.741013
71.521849,74,142.83291
115.55479,118,142.978289
117.761857,120,143.127029
119.372825,122,143.279175
170.5048,173,143.651897
93.56306,96,143.780884
73.527486,76,143.890356
207.193494,210,150.6498
99.574627,102,150.80336
127.370262,130,150.953374
109.781607,112,151.082721
106.860876,109,151.217453
111.855655,114,151.35808
90.880937,93,151.475783
177.146914,180,151.682649
88.530702,91,151.796129
101.273802,104,151.918067
78.54114,81,152.012745
105.422831,108,152.136197
96.220295,99,152.257815
120.19412,123,152.416995
104.448165,107,152.76164
75.618014,78,152.854919
119.576926,122,152.997825
127.368388,130,153.164384
96.514604,99,153.283315
79.70514,82,159.643251
86.738538,89,159.746395
95.479961,98,159.86038
142.548838,146,160.039913
100.839256,103,160.163645
74.640453,77,160.2538
85.766557,88,160.35706
81.546961,84,160.458225
75.689908,78,160.553337
83.521801,86,160.653585
102.658021,105,160.780056
79.935589,82,160.87874
82.809838,85,160.986868
74.015087,76,161.080621
76.042054,78,161.176618
81.00226,83,161.271356
98.156201,101,161.575161
83.555229,86,161.678448
123.920433,126,161.82949
87.854029,90,161.941453
102.567362,105,162.074331
129.458478,132,168.558045
112.588411,115,168.69127
110.404249,113,168.822089
113.771613,116,168.969796
134.454767,137,169.125969
75.42798,78,169.2189
87.413312,90,169.330994
99.151293,102,169.464529
89.584846,92,169.584225
102.999146,105,169.711226
124.4544,127,169.866108
79.482881,82,169.967661
112.849859,116,170.104465
132.237874,135,170.440446
73.598039,76,170.533325
115.601783,118,170.707813
84.762027,87,170.815948
106.140672,109,170.95004
80.72538,83,171.050084
88.618699,91,171.162313
87.712736,90,177.555346
145.609153,148,177.742867
87.741515,90,177.852355
97.426252,100,177.966371
88.710237,91,178.078106
77.651011,80,178.174973
85.826445,88,178.284178
92.228606,95,178.403531
76.562924,79,178.497616
115.946546,118,178.63655
140.478832,143,178.808079
87.630388,90,178.915223
76.129504,79,179.013875
96.109744,99,179.133732
160.733376,164,179.488431
116.357768,119,179.628832
88.680286,91,179.749955
120.79718,123,179.907245
144.436553,147,180.084122
89.520858,92,186.426395
126.225792,129,186.584836
84.45552,87,186.68897
98.548406,101,186.812086
87.584851,90,186.923215
93.433126,96,187.042094
114.649097,117,187.175359
87.432382,90,187.281527
142.746232,145,187.464134
78.622333,81,187.565775
82.583998,85,187.672691
87.53401,90,187.791291
116.323624,119,187.944591
124.816831,128,188.269716
82.620247,85,188.373791
87.563226,90,188.493716
90.661913,93,188.60572
92.668825,95,188.724229
90.589913,93,188.839064
80.650105,83,188.943303
103.663641,106,189.079095
99.44404,102,195.470634
88.426244,91,195.577607
130.172706,133,195.72325
81.576443,84,195.823726
78.371302,81,195.928532
126.210663,129,196.082888
106.535559,109,196.20781
83.27835,86,196.310392
119.099031,122,196.460705
97.506999,100,196.585958
91.606915,94,196.698265
84.418181,87,196.803864
91.557386,94,197.07611
163.780222,167,197.276041
237.610808,241,197.583526
96.789431,99,197.703052
96.7473,99,197.823904
82.461769,85,197.942822
93.666807,96,204.326764
95.479088,98,204.452464
94.699521,97,204.567847
131.079185,134,204.722672
91.547096,94,204.83421
139.543715,142,205.010161
81.422637,84,205.117731
131.338427,134,205.27697
122.507729,125,205.430675
110.107579,113,205.565658
93.334283,96,205.675517
87.617599,90,205.972126
131.72879,135,206.139547
161.493484,165,206.336198
81.069629,84,206.44696
179.155503,183,206.670602
90.617014,93,206.790012
118.342311,121,206.939073
92.487856,95,213.29201
104.320409,107,213.423897
97.256129,100,213.539253
135.935427,139,213.704073
157.61563,161,213.887782
94.185111,97,214.012803
122.159895,125,214.157625
96.719113,99,214.272091
88.485326,91,214.381023
152.339412,155,214.565231
98.267647,101,214.854444
220.334518,225,215.122598
132.425044,135,215.279092
83.146503,86,215.388735
79.592513,82,215.483333
110.308999,113,215.628374
138.349223,141,215.797567
197.898147,203,222.377139
87.9817,91,222.485228
91.352164,94,222.599437
90.454392,93,222.721038
109.4452,112,222.858158
84.186897,87,222.961814
108.159997,111,223.093551
111.560964,114,223.234431
106.425213,109,223.365111
89.124512,92,223.47699
86.143539,90,223.765027
118.227702,121,223.91466
80.296905,83,224.020997
112.522206,115,224.166368
84.572813,88,224.285862
93.473693,96,224.412227
130.921095,134,224.589929
85.223262,88,224.697984
133.362129,136,224.871503
86.072082,89,231.211778
123.140863,126,231.362685
96.491568,100,231.48926
161.952793,165,231.686498
109.865882,113,231.825427
110.238107,113,231.966359
152.219719,155,232.14198
95.040235,98,232.260402
191.288901,195,235.23621
153.441019,156,243.100204
138.653773,142,250.348707
84.248816,87,254.700137
125.090723,128,261.225353
89.271572,92,265.855913
99.932024,103,271.113155
110.254017,113,276.739259
89.515114,92,287.616015
126.738518,130,298.488808
96.213695,99,298.604373
129.841079,133,298.766787
118.260218,122,298.905985
91.542006,95,299.025257
154.226451,157,299.208537
119.388187,123,299.350216
105.931852,109,299.488718
147.040413,150,299.90065
87.20008,90,300.0067
164.518177,168,300.211007
106.731453,110,300.345507
105.051859,109,300.490289
120.687142,124,300.643918
87.852441,91,300.751086
149.925409,154,300.941187
99.64892,103,307.349457
91.67245,95,307.467225
88.223615,91,307.593291
98.855244,102,307.725948
86.98349,90,307.828146
108.795448,113,307.95691
87.259279,90,308.061788
133.76333,137,308.222205
90.253935,93,308.333219
135.675946,139,308.50136
111.573991,115,308.832152
94.776395,98,308.954113
117.56292,121,309.09632
103.804702,107,309.215532
147.424841,150,309.391363
93.261657,96,309.503864
93.89735,97,309.61983
115.444455,119,309.776302
162.220541,166,309.977623
115.08214,118,316.394775
111.130555,114,316.526919
131.217312,134,316.687251
101.97874,105,316.812557
184.527506,188,317.035447
182.827432,186,317.263154
111.136131,114,317.583919
93.964779,97,317.69751
190.038296,193,317.933949
117.563122,121,318.082361
29.717279,31,318.120346
82.308898,85,318.225745
89.779733,93,318.344171
102.247765,105,318.480046
136.532649,139,318.649636
109.805909,112,318.780707
116.022111,119,325.18724
114.79641,118,325.34402
89.701385,93,325.456215
89.536006,93,325.564273
107.439394,110,325.694095
121.68477,125,325.852642
100.156151,103,325.968157
83.953223,87,326.07216
85.893148,89,326.173135
116.67845,120,326.504036
89.817438,93,326.613861
97.865118,101,326.728528
236.20103,241,327.016013
101.673468,105,327.142778
136.353286,139,327.315665
118.083154,121,327.468065
86.734898,90,327.575197
127.935969,131,327.729003
90.709189,94,334.069602
86.828628,90,334.178239
85.913834,89,334.28708
108.491688,112,334.423951
89.5225,93,334.531562
106.002791,109,334.670394
86.634837,90,334.773651
83.074502,86,334.870505
88.936942,92,334.98251
172.888607,176,335.442254
94.893336,98,335.558836
123.806179,127,335.717161
111.69143,115,335.84742
98.899257,102,335.979379
136.29317,140,336.141973
136.911192,140,336.312286
85.090131,88,336.422205
104.184869,108,336.552925
101.074729,104,336.681986
144.888182,148,343.127658
134.855558,138,343.292709
116.824013,120,343.436878
93.453343,97,343.547008
107.796793,111,343.685445
141.065504,144,343.86585
110.39619,114,344.024873
170.244547,173,344.480747
122.031458,125,344.634733
116.965113,120,344.779649
93.655247,97,344.893323
103.026113,106,345.078145
175.33652,179,345.302388
104.359456,108,345.44501
86.91617,90,345.556969
108.705178,112,345.698213
101.646568,105,345.827561
110.106619,113,352.210963
192.84774,197,352.450364
114.080991,117,352.586037
105.595113,109,352.715325
133.861004,137,352.868886
92.759614,96,352.976164
102.318349,107,353.32944
97.277331,101,353.452157
174.699648,179,353.659022
98.2726,102,353.812837
145.275111,150,353.996977
166.584463,170,354.212215
122.723283,126,354.385277
219.091769,222,354.665637
114.926238,118,354.804269
103.919248,107,361.1998
165.655253,168,361.396718
165.875622,170,361.595971
157.068556,160,361.810866
94.459681,98,361.922229
100.607394,104,362.300614
81.76947,85,362.407424
151.208329,154,362.590041
122.492648,126,362.740225
132.03264,136,362.897265
157.42203,160,363.092408
107.389065,111,363.22961
116.264651,119,363.381198
90.990417,94,363.497481
101.347352,105,363.627784
115.89993,120,363.781531
107.652539,111,370.148997
118.87903,122,370.320742
141.617172,145,370.507935
