#{"t_start": 1779264977.2016754, "env_id": "None"}
r,l,t
70.61725,72,5.521158
22.352719,24,6.698388
35.249584,37,8.530037
54.1746,56,11.353751
37.504012,39,13.302018
22.499665,24,14.486863
30.568637,32,16.076973
69.473239,71,19.677981
82.533493,84,23.952122
36.551877,38,25.855767
32.460073,34,27.575057
49.314491,51,30.133701
31.355644,33,31.778237
52.575515,54,34.54042
78.469928,80,38.617258
40.120711,42,40.715847
19.322401,21,41.769009
23.314496,25,43.063084
26.513317,28,44.462902
30.317447,32,46.082228
41.009188,43,48.170225
38.463119,40,50.219379
59.840321,62,61.320356
60.962639,63,61.400745
26.51853,28,61.430373
18.303918,20,61.457602
23.175951,25,61.489853
29.341124,31,61.524153
55.145114,57,61.594806
76.2335,79,61.691136
51.605427,53,61.754866
113.242772,115,61.892317
39.957561,42,61.942426
35.505298,37,61.994397
31.244888,33,62.032808
48.356691,50,62.09194
57.718023,59,62.159475
24.308083,26,62.192888
48.255089,50,62.248498
62.550564,64,62.329766
63.42605,65,62.415094
38.466869,40,62.457078
22.534975,24,62.492595
25.620787,27,62.805909
43.656988,45,69.117228
90.208493,92,69.224445
70.690618,72,69.311514
80.563615,82,69.416077
52.354509,54,69.48152
48.374404,50,69.537455
43.319168,45,69.59243
27.52077,29,69.624747
66.587736,68,69.70686
32.391727,34,69.744999
49.450838,51,69.809584
59.717952,62,69.884064
85.701849,88,69.989115
40.56587,42,70.034385
71.300828,73,70.121773
44.452887,46,70.18927
41.578046,43,70.238841
39.602747,41,70.29164
52.552348,54,70.366104
74.500429,76,70.456923
23.385933,25,70.489688
39.574307,41,70.537937
30.458394,32,70.572737
24.523728,26,70.607036
36.559384,38,70.650737
43.471606,45,70.706485
37.594131,39,70.750529
64.44918,66,70.831089
49.651117,51,70.896564
45.559699,47,70.953112
52.008764,54,71.024248
71.761536,73,71.116518
54.39221,56,71.181224
44.179469,46,71.243139
71.529562,73,71.342004
66.120285,68,71.432915
67.262276,69,71.662378
66.566207,68,71.748908
28.259341,30,78.047722
65.338513,67,78.128642
57.497049,59,78.201605
66.368001,68,78.286199
87.444613,89,78.398607
64.762648,66,78.471874
48.374788,50,78.534701
71.784757,73,78.623059
75.519798,77,78.715145
46.326221,48,78.768196
65.612918,67,78.857802
91.636309,93,78.968523
104.037801,106,79.094156
70.685875,72,79.180793
85.434835,87,79.280611
55.073643,57,79.353977
100.382502,102,79.47475
39.519657,41,79.523921
67.571224,69,79.636615
63.617973,65,79.718957
68.67041,70,79.800026
67.526656,69,79.886284
126.497874,128,80.043672
73.776303,76,80.140109
75.551199,77,80.231608
87.479031,89,80.352069
43.475333,45,80.578096
108.429975,110,80.716409
80.712407,82,87.039109
60.67054,63,87.117654
79.70023,81,87.213139
70.250224,72,87.300588
109.397495,111,87.440266
95.349904,97,87.55226
93.24824,95,87.658969
72.609516,74,87.747342
71.809231,73,87.862943
80.681416,83,87.959153
67.434292,69,88.039525
76.548446,78,88.132463
68.615008,70,88.211237
81.325616,83,88.318823
75.07144,77,88.43597
66.650909,68,88.51381
89.753326,92,88.629892
103.599056,105,88.759163
62.582266,64,88.842439
74.385994,76,88.950657
97.441602,99,89.073401
110.027819,112,89.206457
107.630384,109,89.499747
60.695673,62,89.581106
90.599831,93,95.959748
89.281056,91,96.068257
142.484716,145,96.236434
80.490503,82,96.345565
67.719236,69,96.426382
98.27606,100,96.572732
110.21546,112,96.714934
70.17649,72,96.862835
92.375564,94,96.978325
86.297627,88,97.091568
81.095263,83,97.193159
74.525953,76,97.287787
86.586556,88,97.405753
99.492666,101,97.527609
82.647668,84,97.638422
104.470411,106,97.776563
76.581333,78,97.890458
97.086252,99,98.010222
80.839842,83,98.111422
110.359386,112,98.248692
65.78869,67,98.496706
81.613956,83,98.607504
81.498883,83,98.708698
107.394564,109,105.159148
104.279635,106,105.293353
101.101269,103,105.42508
93.031,95,105.532072
73.589747,75,105.625129
74.651675,76,105.722561
195.150545,198,105.962564
83.95712,86,106.065301
68.50823,70,106.151808
95.030757,97,106.267064
96.528675,98,106.399533
70.690139,72,106.486964
104.237029,106,106.624803
98.986672,101,106.761674
138.824037,141,106.934237
117.380396,119,107.075983
71.358176,73,107.166268
69.463184,71,107.496598
76.602648,78,107.594819
82.698189,84,107.699027
76.446102,78,107.799558
74.608693,77,114.150919
115.389285,117,114.28692
125.461516,127,114.443249
65.378597,67,114.525917
117.518073,120,114.670425
93.481569,95,114.793967
128.280506,130,114.957204
115.782761,118,115.098184
71.528579,74,115.186997
82.273817,84,115.291851
75.963641,78,115.392998
115.115502,117,115.543181
74.65114,77,115.644389
100.539223,102,115.772077
80.414292,82,115.867214
75.506078,77,115.966222
93.12438,95,116.083088
83.302547,85,116.222233
133.455927,135,116.609513
87.530468,89,116.719896
69.087176,71,116.813635
67.657175,69,116.906022
76.57097,79,123.305174
84.393643,87,123.423431
96.511334,98,123.547828
154.099456,156,123.748458
84.312276,86,123.863176
100.36938,103,124.051985
67.434454,69,124.141117
86.874229,90,124.258808
114.520491,117,124.414247
75.362472,77,124.513085
70.048786,72,124.604146
80.510688,83,124.706385
71.159339,73,124.797961
76.872051,79,124.893256
74.208971,76,125.00046
80.86674,83,125.103122
89.437305,91,125.212296
96.812901,99,125.344037
72.438789,74,125.60355
73.401857,75,125.693579
127.802919,130,125.854079
81.96631,84,125.957309
73.552079,76,132.249664
97.125209,100,132.371362
94.287464,97,132.484187
124.779884,127,132.638496
71.221347,73,132.727203
98.56305,101,132.872457
84.388,87,132.972011
83.328134,86,133.081123
103.639009,106,133.216651
90.564236,93,133.333093
144.835891,147,133.501412
