#{"t_start": 1779264977.178309, "env_id": "None"}
r,l,t
34.698813,36,3.781461
79.390786,81,7.743773
24.304976,26,9.071279
22.291725,24,10.247208
26.510713,28,11.679965
41.35013,43,13.813787
41.511309,43,15.946632
34.403274,36,17.776571
117.884498,120,23.876983
46.61927,48,26.269237
40.371316,42,28.388563
38.210886,40,30.412044
34.362984,36,32.210565
23.411942,25,33.461379
26.438674,28,34.926036
35.439541,37,36.768508
45.458379,47,39.182041
29.373746,31,40.73941
28.573188,30,42.241327
31.405087,33,43.946982
83.217904,85,48.146978
28.543807,30,49.688459
28.144734,30,51.169188
49.530415,51,61.35467
23.417931,25,61.388933
49.467083,51,61.446522
19.374732,21,61.471236
36.462001,38,61.521795
19.241577,21,61.544444
28.160052,30,61.583102
34.19239,36,61.625524
73.39071,75,61.716871
57.248396,59,61.791379
45.446604,47,61.843941
16.209095,18,61.863021
32.644383,34,61.907312
48.482207,50,61.966118
18.344281,20,61.9971
35.709483,37,62.041901
28.38504,30,62.073851
23.58104,25,62.106623
33.519049,35,62.144533
55.241479,57,62.21506
39.523854,41,62.261651
25.111682,27,62.296115
40.464062,42,62.347866
44.214086,46,62.406479
35.666124,37,62.451621
32.318439,34,62.489384
31.54924,33,62.5345
36.441527,38,62.858917
73.661842,75,69.208114
18.356195,20,69.23252
39.703358,41,69.276187
42.587132,44,69.330543
18.278716,20,69.35817
84.482498,86,69.465259
86.465696,88,69.567954
34.223094,36,69.61241
22.413377,24,69.639356
58.553215,60,69.712165
43.435085,45,69.762772
79.333718,81,69.861893
65.575136,67,69.943807
58.209584,60,70.014749
88.33331,90,70.117367
44.416547,46,70.178802
69.365551,71,70.268278
32.530645,34,70.31257
40.439743,42,70.373581
45.417611,47,70.430165
31.449766,33,70.467851
42.531323,44,70.523985
39.149577,41,70.571055
70.479427,72,70.656868
89.544998,91,70.764877
51.233057,53,70.830358
36.636238,38,70.875144
53.573012,55,70.946742
64.137186,66,71.031017
31.505492,33,71.069909
38.325492,40,71.122859
32.559203,34,71.163564
28.493244,30,71.19793
72.53676,74,71.292305
40.295476,42,71.353743
80.601843,83,71.463377
41.502446,43,71.51703
46.593473,48,71.719615
53.665737,55,71.790162
100.593393,102,78.17458
108.846697,111,78.317576
79.588697,81,78.416197
74.991698,77,78.502616
74.670677,76,78.594375
102.23807,104,78.724374
85.396439,87,78.829243
96.235739,98,78.951365
45.035868,47,79.004344
83.318132,85,79.105993
85.547272,87,79.209738
82.572555,84,79.30627
51.491503,53,79.375055
48.787451,50,79.438432
23.372062,25,79.466814
70.596059,72,79.549419
77.674058,79,79.673178
72.746103,75,79.768509
72.75325,74,79.859296
78.255828,80,79.95946
84.659681,86,80.061492
68.003344,70,80.146851
54.565065,56,80.214472
77.713672,80,80.314218
24.296571,26,80.359314
112.305344,115,80.675461
60.739866,62,80.750008
67.56089,69,87.055865
75.252248,77,87.150973
76.482132,78,87.244002
66.732243,68,87.326419
80.10937,82,87.428337
74.575915,76,87.515724
67.531977,69,87.596886
80.507824,82,87.690402
57.522362,59,87.761806
99.385862,101,87.907978
76.468488,78,87.998606
84.600952,86,88.099207
75.621618,77,88.191607
78.7246,80,88.286694
84.517418,86,88.404482
100.466753,102,88.538196
97.624875,100,88.668838
65.601629,67,88.745903
72.60794,74,88.836558
69.627364,71,88.938384
117.245601,119,89.092613
49.587957,51,89.148551
54.641595,56,89.219076
126.212411,128,89.534709
78.645778,80,89.637501
102.36625,104,96.026643
72.647941,74,96.115838
163.565476,166,96.314036
71.602612,73,96.408703
92.464723,94,96.531152
103.560646,105,96.678222
80.56354,82,96.805825
80.714059,82,96.933756
78.50736,80,97.037155
98.393237,100,97.161141
70.48069,72,97.253526
73.619064,75,97.357394
80.166734,82,97.456972
86.409093,88,97.568675
118.548342,120,97.725026
109.653856,111,97.878237
83.662576,85,97.9814
80.458965,82,98.081338
73.532136,75,98.173857
80.600209,82,98.276801
106.80148,109,98.574123
125.805843,128,98.741535
92.84043,95,105.17645
78.425184,80,105.277336
119.142672,121,105.4315
114.582838,117,105.565163
94.542591,96,105.68465
113.154183,115,105.837124
60.6929,62,105.90787
78.583746,80,105.999759
83.023774,85,106.101355
80.881551,83,106.202057
104.260355,106,106.341166
80.95115,83,106.449756
71.705371,73,106.538237
68.512969,70,106.622916
85.58201,87,106.749325
109.139518,111,106.883443
91.383643,93,106.994311
77.387476,79,107.090782
120.3646,122,107.243357
100.037401,102,107.610964
68.530059,70,107.69839
103.117524,105,107.831487
72.909068,75,114.180023
71.687121,73,114.267782
82.72754,84,114.367608
71.513214,73,114.457385
86.108423,88,114.563007
95.346372,97,114.678952
68.291938,70,114.768739
74.142426,76,114.869815
84.643357,86,114.975919
115.488797,117,115.116164
69.47325,71,115.201161
190.924633,193,115.446942
103.381587,105,115.580909
75.335921,77,115.684333
105.696565,108,115.814365
73.424502,75,115.901593
68.522649,70,115.993267
75.456991,77,116.090089
78.501004,80,116.221542
70.514866,73,116.530269
91.918446,94,116.646029
150.565215,153,116.843313
84.902308,87,123.25399
71.151915,74,123.355838
113.637454,116,123.511452
70.472461,72,123.601971
109.292442,111,123.742778
138.721804,141,123.982163
146.410626,148,124.173269
116.225388,118,124.331941
80.461459,82,124.437588
63.644483,65,124.523464
80.550333,82,124.625045
124.764625,127,124.777282
68.215663,70,124.866392
73.717259,76,124.96204
92.050307,95,125.086924
73.406202,75,125.179388
82.166119,84,125.282805
108.355537,110,125.431576
75.467874,78,125.692735
84.084959,86,125.79754
91.093489,93,125.906579
71.637202,74,126.002455
66.475866,68,132.284836
75.173261,78,132.380867
142.863665,146,132.554838
127.239573,130,132.709397
89.03553,91,132.816814
92.99964,95,132.958294
82.775327,85,133.058089
87.289026,90,133.176295
82.283819,84,133.278003
84.851947,87,133.385571
74.403686,77,133.475664
94.9329,97,133.589074
127.326733,129,133.754581
103.990696,106,133.905313
91.57347,94,134.025311
84.517296,87,134.130623
74.521676,76,134.228896
129.903649,132,134.54403
123.278819,125,134.735191
102.524316,105,134.878204
82.00277,84,134.982339
79.584243,82,141.391708
82.782285,85,141.498308
95.584807,98,141.612658
79.754234,82,141.737751
73.640464,76,141.828037
73.000926,76,141.914638
82.950738,86,142.018699
69.585148,72,142.102938
114.03889,117,142.236654
100.807536,103,142.367415
88.193068,90,142.471326
83.476695,85,142.57967
74.519628,77,142.678325
84.264504,86,142.779119
93.547814,96,142.894453
90.693713,93,143.010132
155.8529,158,143.208377
71.778158,74,143.456789
76.146599,78,143.55295
74.743454,77,143.651732
140.301255,143,143.853919
74.933901,77,143.968676
141.972304,145,150.625123
75.95227,78,150.752596
87.531618,90,150.860557
116.837064,119,150.99507
73.854632,76,151.085166
119.646184,122,151.229686
93.731677,96,151.361051
74.960417,77,151.45349
144.22142,147,151.620499
89.57448,92,151.729569
83.352269,86,151.831744
94.85759,97,151.945282
90.478387,93,152.052648
82.822181,85,152.155006
122.952666,125,152.309444
73.878627,76,152.633763
122.921884,125,152.77698
152.837157,156,152.960008
83.341964,86,153.071634
98.396823,101,153.197104
83.519003,86,159.560436
78.702616,81,159.650985
76.770481,79,159.746325
76.440988,79,159.837875
110.48961,113,159.980125
164.392058,167,160.175729
76.729115,79,160.267442
79.624203,82,160.368411
74.059192,76,160.459279
79.476783,82,160.553905
88.714239,91,160.666
138.266488,141,160.833754
88.720576,91,160.951673
82.542711,85,161.056167
93.959954,96,161.16817
108.110067,111,161.481021
86.229146,89,161.587559
101.874081,104,161.717767
108.530232,111,161.854894
78.534106,81,161.949954
75.912321,78,162.050708
82.663987,85,162.154652
87.459755,90,168.582759
104.295041,107,168.710702
94.548265,97,168.825368
76.524796,79,168.925169
80.804348,83,169.020573
79.250502,82,169.118011
69.585876,72,169.199788
76.652112,79,169.298522
100.792512,103,169.434349
97.445964,100,169.563704
77.777944,80,169.660826
109.858087,112,169.794166
94.531084,97,169.910352
74.741916,77,170.00381
96.729477,99,170.131163
169.723687,173,170.509695
99.638983,102,170.664384
156.764314,160,170.866428
100.33786,103,170.989028
124.501356,127,171.14786
150.962444,154,177.615553
