#{"t_start": 1779845151.5535586, "env_id": "None"}
r,l,t
10.019539,11,0.824365
17.723209,20,0.835783
11.819114,13,0.842484
19.992507,23,0.853299
51.454799,53,0.878467
10.982289,12,0.883956
34.517231,36,0.900689
10.799865,12,0.905375
7.864048,9,0.91011
11.889534,13,0.917346
8.642666,10,0.921479
22.269586,25,0.933911
10.050133,11,0.939265
8.946569,10,0.94453
23.353149,25,0.956985
21.081225,23,0.967603
11.749945,13,0.974372
6.924985,8,0.978307
15.527804,17,0.987091
19.455315,21,0.997456
13.11029,15,1.004577
31.105749,34,1.020164
26.534361,29,1.034528
14.224445,16,1.043875
7.760307,9,1.048201
24.938238,27,1.06079
22.851376,24,1.071623
20.301224,24,1.084062
36.367573,38,1.101253
9.793116,11,1.107081
14.974094,16,1.11438
7.165842,8,1.117501
10.826815,12,1.122989
21.528326,23,1.134832
25.082226,27,1.148568
23.752829,25,1.160739
17.089978,18,1.168995
31.133408,34,1.184598
13.359146,15,1.192037
9.824083,11,1.197283
18.468837,20,1.207709
11.952981,13,1.214056
21.004793,23,1.226985
42.268657,45,1.249007
24.635194,26,1.262419
6.979226,8,1.266745
32.658396,36,1.283524
29.621563,31,1.298549
7.904797,9,1.303173
15.322821,17,1.311481
34.568674,40,1.331383
12.679835,14,1.33924
15.089947,16,1.349168
43.755782,46,1.377062
31.474176,33,1.398393
8.602458,10,1.402781
20.023143,21,1.413965
19.611093,21,1.424539
12.222856,14,1.431579
60.499318,63,1.464323
27.14433,31,1.479759
26.08182,29,1.494004
16.736519,18,1.503626
10.773236,12,1.50997
13.648005,15,1.517872
11.651245,13,1.523954
17.312121,19,1.533073
18.186904,19,1.542139
12.787544,14,1.548918
11.768921,13,1.554219
12.953051,14,1.562675
18.913249,21,1.572022
19.818776,21,1.58198
32.038318,34,1.597777
10.729537,12,1.603135
23.744016,25,1.614327
8.077182,9,1.618743
9.792509,11,1.623719
7.747508,9,1.628089
25.045247,26,1.640241
11.802587,13,1.646053
11.743987,13,1.652231
9.800102,11,1.657364
36.841163,39,1.675936
14.702776,16,1.683428
10.682608,12,1.690376
15.846577,17,1.697739
8.090782,9,1.702521
7.011156,8,1.70565
19.654678,21,1.715727
10.879696,12,1.720526
9.909328,11,1.726074
13.935973,15,1.732344
11.472486,13,1.738176
13.954941,15,1.745972
19.91928,22,1.757387
17.669859,19,1.767638
14.462664,16,1.77559
13.92628,15,1.783594
10.909254,12,1.788047
13.568589,16,1.797021
9.875463,11,1.802382
7.937204,9,1.807197
9.821302,11,1.812025
9.592939,11,1.816955
20.884413,25,1.827982
7.669864,9,4.702227
11.128849,12,4.715727
26.06702,29,4.743227
39.17456,41,4.779727
9.771633,11,4.789919
14.838468,16,4.803204
15.789511,17,4.820704
20.61041,22,4.840704
11.478404,13,4.851204
7.022231,8,4.858704
34.415887,36,4.89022
67.312052,69,4.92505
29.324319,32,4.940676
20.820023,22,4.950516
16.492956,18,4.959076
14.596639,16,4.965767
59.166246,64,4.996469
12.691839,14,5.003888
26.950004,30,5.165529
14.86536,16,5.17465
18.647131,20,5.185529
13.713359,15,5.193788
28.498725,30,5.208223
39.546307,43,5.228968
17.418786,19,5.237285
14.747457,16,5.244415
40.879493,47,5.267391
11.939785,13,5.273356
55.882078,59,5.300021
20.019672,21,5.310079
42.934095,49,5.331831
56.55143,61,5.360367
58.483786,62,5.389325
25.742633,28,5.401965
32.86875,34,5.417791
28.116544,31,5.431016
14.177565,16,5.438305
12.825768,14,5.444652
50.929642,56,5.47094
30.707991,32,5.486605
51.960904,55,5.512656
30.068887,32,5.527352
46.851092,49,5.549246
59.875301,63,5.57852
76.24727,82,5.616277
12.97736,14,5.62321
16.943831,18,5.631471
16.520959,18,5.63971
36.944719,42,5.658809
8.097465,9,5.663016
7.709645,9,5.667287
16.287075,18,5.675655
8.826912,10,5.681696
13.037401,15,5.687992
26.659499,28,5.700964
32.789307,34,5.716776
31.443747,33,5.732078
15.995516,18,5.740533
60.919924,63,5.768186
7.863228,9,5.772587
52.173449,54,5.797792
9.858269,11,5.803231
34.951824,37,5.819645
22.706752,24,5.83075
17.959027,20,5.839437
13.168273,15,5.846304
10.010232,11,5.851417
39.156543,43,5.870413
10.879389,12,5.876042
36.160332,38,5.89263
32.310044,34,8.79852
51.979435,55,8.84952
76.88077,83,8.923182
13.41026,15,8.938682
26.358639,28,8.963682
89.424479,93,9.008647
17.031778,18,9.016932
77.594498,84,9.05593
24.961527,27,9.069072
16.456249,18,9.077128
18.876194,22,9.087965
65.196283,67,9.117606
21.423102,23,9.128144
84.154814,88,9.169521
60.167903,68,9.200465
8.735064,10,9.206089
66.251656,78,9.240379
64.612585,68,9.27186
11.868462,13,9.278071
58.981775,61,9.462748
48.848865,52,9.487511
49.413173,51,9.511741
43.914148,50,9.534503
79.778846,86,9.573261
51.936549,54,9.599311
31.778206,35,9.616498
85.972901,92,9.658877
40.301788,44,9.678914
99.624967,112,9.730562
18.913444,21,9.739501
63.4292,69,9.770738
26.451149,30,9.784618
55.842493,61,9.813147
115.987584,124,9.869491
60.86173,63,9.897909
16.688751,18,9.907408
47.551599,49,9.933997
64.725634,68,9.965041
78.336334,83,12.810612
88.687718,96,12.899569
103.690693,111,12.975873
57.791266,65,13.00556
98.982791,108,13.06124
85.700675,91,13.109482
101.694284,107,13.159971
72.064763,75,13.193969
91.74262,98,13.240448
105.779221,108,13.292311
89.825616,97,13.336766
48.826931,52,13.360996
91.601787,95,13.407047
13.057436,14,13.413067
48.398029,51,13.436371
97.855764,104,13.485531
79.348674,86,13.676632
126.941139,134,13.741623
18.335811,20,13.750718
44.320185,50,13.775185
49.843631,57,13.801649
92.958308,103,13.857032
135.355503,141,13.926234
64.924124,68,13.957398
37.565182,39,13.976115
103.119542,109,16.800088
77.708079,84,16.874974
116.567273,128,16.95456
107.972992,112,17.005542
121.781144,128,17.065002
96.441149,102,17.111022
106.588169,113,17.162806
77.98678,80,17.199446
96.87981,103,17.245103
139.925043,145,17.3125
49.926761,52,17.335415
92.028904,99,17.381356
105.694815,118,17.433872
91.887418,98,17.477639
99.393132,104,17.52553
152.675466,163,17.603972
109.412796,117,17.832615
104.988039,111,17.887147
138.34723,143,20.792326
114.78268,119,20.89588
108.690265,116,20.97657
122.627591,130,21.036201
150.434796,160,21.110943
134.175236,139,21.176957
134.779522,146,21.253327
160.100019,166,21.332923
98.956209,106,21.379502
122.574662,128,21.442089
96.552433,103,21.488292
109.486865,114,21.540975
105.22531,112,21.590563
106.51095,114,21.642553
98.157481,103,21.688494
90.648546,97,21.734671
97.016278,103,21.783282
107.390762,115,24.565135
97.380232,103,24.656085
147.894323,153,24.89816
97.909233,104,24.946062
95.662739,100,24.993203
132.923094,140,25.055545
128.421013,135,25.119624
180.160498,189,25.20514
127.424949,132,25.264695
114.708828,121,25.320918
110.258202,115,25.370356
197.697384,204,25.462144
44.411167,46,25.485437
73.997626,80,25.526589
111.413984,119,25.579705
102.583623,111,25.632013
91.3193,96,25.674778
61.844136,73,28.715861
109.891566,115,28.813652
115.950541,123,28.901521
122.243523,128,28.958286
110.661004,116,29.01106
100.903023,109,29.059873
202.738671,210,29.319261
103.764782,109,29.368463
90.294595,96,29.412579
122.667916,130,29.476523
141.911525,153,29.546386
105.265613,110,29.603538
104.269221,110,29.660028
118.90834,124,29.716696
142.794968,148,29.784788
126.28271,131,29.846752
131.144685,139,32.850641
109.650695,115,32.952921
150.499354,158,33.052793
118.270813,124,33.109969
129.409953,136,33.172188
133.665945,138,33.236627
109.356234,116,33.288892
138.570402,144,33.354704
109.998542,115,33.406642
108.818586,114,33.61893
106.495736,112,33.677068
105.103953,111,33.7291
108.922128,114,33.782031
148.797086,159,33.854572
101.043691,107,33.902974
133.465603,139,33.970672
101.884912,108,36.852834
114.586536,119,36.956418
156.929307,163,37.074774
106.495319,112,37.126752
100.600245,105,37.17192
204.930764,212,37.267009
111.296616,116,37.325576
120.127533,125,37.384343
172.957023,180,37.465904
99.653905,105,37.512977
146.147493,152,37.580711
111.192899,116,37.639149
173.093646,179,37.865077
110.132109,115,37.916884
105.892365,110,37.966183
100.203817,105,38.019017
125.939487,132,40.947735
173.634697,180,41.080244
164.945092,171,41.157934
159.53515,165,41.232858
105.756692,112,41.283453
205.809667,211,41.378434
104.099233,110,41.430274
141.871542,148,41.49856
144.93968,150,41.575314
165.333669,171,41.656054
102.363985,108,41.711876
115.003565,121,41.777477
143.498257,149,41.858816
109.960314,116,41.91735
106.227206,112,44.90739
112.181773,117,45.01639
107.645569,112,45.07667
109.701972,116,45.129615
136.702817,142,45.192446
125.665045,131,45.256847
109.465115,116,45.307593
133.567175,139,45.370982
114.456864,119,45.424353
107.290383,113,45.483699
101.982478,107,45.539565
105.712653,111,45.593796
114.316835,119,45.652906
142.820969,149,45.72938
98.092165,103,45.783642
131.82884,137,45.852619
101.532794,106,45.904757
135.823389,141,49.086494
110.769251,116,49.186132
104.443039,110,49.251898
113.444573,118,49.453389
128.185419,133,49.522506
106.650942,112,49.573098
148.72653,154,49.642926
104.671184,110,49.6934
108.948317,115,49.746606
149.453557,155,49.81807
103.372355,109,49.865979
128.555715,133,49.926032
139.158296,144,49.99415
107.625171,112,50.04693
103.01775,109,50.09634
112.755348,117,50.149962
120.918385,126,53.046946
122.096349,127,53.148499
142.395265,148,53.262006
113.939539,120,53.326596
118.459723,124,53.386238
107.996271,113,53.441417
111.567765,116,53.4926
98.99505,104,53.701635
111.273689,116,53.754786
104.080979,109,53.805983
102.581794,107,53.854076
150.845,157,53.929459
102.325097,107,53.97855
102.595652,107,54.026073
150.85139,156,54.097888
134.251369,140,54.162618
151.303005,156,54.241597
164.807529,170,57.257778
106.007859,111,57.336313
131.403465,136,57.420483
125.922308,131,57.480521
102.683719,108,57.529973
100.591369,105,57.578344
105.126509,110,57.628498
105.870942,111,57.679946
106.367792,111,57.729345
103.2026,108,57.779285
105.347719,110,57.828643
127.045328,132,58.045568
102.687094,107,58.094494
111.967717,117,58.148664
161.386628,167,58.22379
106.492154,111,58.272697
164.796226,170,61.600016
123.609693,128,61.707394
108.100218,113,61.789943
116.857747,122,61.86438
116.362117,121,61.917595
101.08432,106,61.963829
122.056115,127,62.022837
